"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.language","customData.platform","customData.controls","customData.localplayerguid","customData.sametab","customData.device","customData.option","customData.sound","customData.gamelevel","customData","customData.dnabit"
"1fc7be2c-932f-4b61-93fa-5d8d00cc5b72","2015-09-11T12:23:28.538Z","2015-09-11T12:23:34.980Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33d7330a-b4fd-4c11-b388-41134a226bec",,,,,,,"reach","[-3, 134]","Checkpoint01",,,,,,,,,,"null",
"ea7e287f-631b-4508-b44d-f303bac6ae30","2015-09-11T12:40:43.550Z","2015-09-11T12:40:48.703Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33d7330a-b4fd-4c11-b388-41134a226bec",,,,,,,"start","[-2, 130]","Checkpoint01",,,,,,,,,,"null",
"ad7b3ce8-538b-44e2-bfde-c083b6553961","2015-09-11T12:40:48.513Z","2015-09-11T12:40:53.099Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33d7330a-b4fd-4c11-b388-41134a226bec",,,,,,,"pickup","[77, 97]","Checkpoint01",,,,,,,,,,,"""PRCONS:RBS2:MOV:DTER"""
"40a10d86-e1f5-49c9-87bb-b005ae8f2fa0","2015-09-11T12:40:53.503Z","2015-09-11T12:40:58.647Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33d7330a-b4fd-4c11-b388-41134a226bec",,,,,,,"reach","[115, 139]","Checkpoint02",,,,,,,,,,"null",
"5443908a-09b0-4745-8b08-a453e278e58f","2015-09-11T12:40:58.481Z","2015-09-11T12:41:01.410Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33d7330a-b4fd-4c11-b388-41134a226bec",,,,,,,"death","[59, 158]","Checkpoint02",,,,,,,,,,"null",
"fc4879b1-37e6-4efa-9829-186b4dbd7beb","2015-09-11T12:51:40.280Z","2015-09-11T12:51:47.452Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","533c2874-dd78-4c06-a07c-726a75086c9d",,,,,,,"start","[-6, 143]","",,,,,,,,,,"null",
"6b78882e-a0ee-4961-b362-8fdceca2f298","2015-09-11T13:04:17.948Z","2015-09-11T13:04:21.882Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9dd05d4d-e69d-4e06-8568-90a2954e3875",,,,,,,"reach","[-7, 134]","Checkpoint01",,,,,,,,,,"null",
"1940e1b7-a8bf-4224-8bb7-26ea47acb1ec","2015-09-11T13:04:22.886Z","2015-09-11T13:04:26.143Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9dd05d4d-e69d-4e06-8568-90a2954e3875",,,,,,,"start","[7, 113]","Checkpoint01",,,,,,,,,,"null",
"54988f5d-dee6-4714-bc80-fbc71db68b88","2015-09-11T13:04:22.886Z","2015-09-11T13:04:29.893Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9dd05d4d-e69d-4e06-8568-90a2954e3875",,,,,,,"death","[38, 114]","Checkpoint01",,,,,,,,,,"null",
"49ebbe26-361a-481a-84fb-2683e94c085e","2015-09-11T13:04:37.892Z","2015-09-11T13:04:41.143Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9dd05d4d-e69d-4e06-8568-90a2954e3875",,,,,,,"death","[75, 86]","Checkpoint01",,,,,,,,,,"null",
"7ba5d4a5-a011-4312-b5b5-5d489e22c750","2015-09-11T14:34:21.005Z",,"be209fe8-0ef3-4291-a5f4-c2b389f5d77d","5b16c246-0d8c-4226-b8a1-34ebd16a3f0b",,,,,,,"start","[-6, 143]","",,,,,,,,,,"null",
"20f59621-59df-4a93-8d7b-1b37b6cca2df","2015-09-11T14:52:02.916Z","2015-09-11T14:52:10.321Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","1e3ad46a-38a5-4701-8534-d14e8cb87a23",,,,,,,"start","[-6, 143]","",,,,,,,,,,"null",
"04e04907-b389-4097-8b38-d9f4bbbabe2f","2015-09-11T15:44:52.347Z","2015-09-11T15:44:55.029Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","c8e3c070-db90-4a00-b6a1-e03a1d6f42eb",,,,,,,"start","[-6, 143]","",,,,,,,,,,"null",
"642ee888-3738-4907-84ef-c9118f645c8f","2015-09-11T16:05:10.692Z","2015-09-11T16:05:13.315Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33f1d5fa-7120-4e84-b032-0375ddd27293",,,,,,,"start","[-6, 143]","",,,,,,,,,,"null",
"e13092dc-099d-479c-b8f6-b1f6cbd70be5","2015-09-11T16:05:20.661Z","2015-09-11T16:05:25.096Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33f1d5fa-7120-4e84-b032-0375ddd27293",,,,,,,"reach","[-6, 133]","Checkpoint01",,,,,,,,,,"null",
"0c43a2f5-7860-4746-a94e-841c9f510aec","2015-09-11T16:05:25.653Z","2015-09-11T16:05:29.350Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","33f1d5fa-7120-4e84-b032-0375ddd27293",,,,,,,"pickup","[74, 97]","Checkpoint01",,,,,,,,,,,"""PRCONS:RBS2:MOV:DTER"""
