"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.language","customData.platform","customData.localplayerguid","customData.sametab","customData.controls","customData.device","customData.option","customData.sound","customData.gamelevel","customData.newtab","customData","customData.dnabit"
"d3d72323-809a-4bfe-acab-291834f9a77d","2016-02-05T03:11:40.445Z","2016-02-05T03:11:37.278Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"reach","[519, 369]","adventure1.Checkpoint04",,,,,,,,,,,"null",
"2c7b504c-3da6-4a03-a2c9-d92fa85aa6ee","2016-02-05T03:11:50.446Z","2016-02-05T03:11:50.159Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"pickup","[530, 339]","adventure1.Checkpoint04",,,,,,,,,,,,"""RBS1"""
"c6f4a1fc-765d-4b86-b222-844beca55f0f","2016-02-05T03:13:20.741Z","2016-02-05T03:13:17.601Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"craft","[530, 339]","adventure1.Checkpoint04",,,,,,"""PRCONS:RBS1:MOV:DTER""",,,,,,
"55d005bb-2435-4d48-b902-66e2600d5e04","2016-02-05T03:13:30.431Z","2016-02-05T03:13:29.362Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"equip","[530, 339]","adventure1.Checkpoint04",,,,,,"""PRCONS:RBS1:MOV:DTER""",,,,,,
"2271f532-7542-4d9a-854b-4f6092f6b574","2016-02-05T03:13:35.431Z","2016-02-05T03:13:31.297Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"unequip","[530, 339]","adventure1.Checkpoint04",,,,,,"""PRCONS:RBS2:MOV:DTER""",,,,,,
"6164d3fb-54cb-4adb-be54-87d936159db2","2016-02-05T03:14:20.442Z","2016-02-05T03:14:15.797Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"death","[541, 480]","adventure1.Checkpoint04",,,,,,,,,,,"null",
"f43439e2-a0cc-4c4a-960f-48b8105ce9c5","2016-02-05T03:14:30.421Z","2016-02-05T03:14:28.409Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"death","[585, 433]","adventure1.Checkpoint04",,,,,,,,,,,"null",
"1dbe149c-048d-4bf8-b535-22c558971c4c","2016-02-05T03:14:50.522Z","2016-02-05T03:14:46.812Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"death","[571, 487]","adventure1.Checkpoint04",,,,,,,,,,,"null",
"17bc58c3-8455-41fa-b536-7c90db898cfb","2016-02-05T03:15:15.427Z","2016-02-05T03:15:12.018Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"reach","[489, 645]","adventure1.Checkpoint05",,,,,,,,,,,"null",
"7218099d-6242-452e-bb2c-3e2eba4ec118","2016-02-05T03:16:00.452Z","2016-02-05T03:15:56.564Z","51b8a78a-8dd3-4a5e-9f41-01e6805e0f52","3607b3ec-9e2a-4043-9f07-8dbccee66cb3",,,,,,,"death","[314, 560]","adventure1.Checkpoint05",,,,,,,,,,,"null",
