"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.biobrick","customData.platform","customData.localplayerguid","customData.devices","customData.sametab","customData.device","customData.slot","customData.energy","customData.option","customData.sound","customData.dnabit","customData.duration","customData.nanobot","customData.count","customData.plasmid","customData.language","customData.total","customData.controls","customData.message","customData.chapter","customData.life","customData.source"
"e7c39c16-91a2-485b-87bd-131653cb7dba","2017-05-13T09:41:46.468Z","2017-05-13T09:41:45.487Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-868, -945]","tutorial1.Checkpoint08",,,,"""slot0[PRBAD3:RBS1:FLUO1:DTER]""",,,"""slot1""","""100""",,,,,,,,,,,,,"""100""",
"dcbc4341-2f6d-4ac4-bb0d-abf3dc97bc1a","2017-05-13T09:41:47.309Z","2017-05-13T09:41:46.324Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-868, -945]","tutorial1.Checkpoint08","""PRCONS""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:null:null:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"08c9f5a8-7d30-48cd-9eef-32aaab61aeb9","2017-05-13T09:41:48.610Z","2017-05-13T09:41:47.628Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-868, -945]","tutorial1.Checkpoint08","""RBS2""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:null:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"84595777-d7b5-4695-9ca6-2662b9dec0da","2017-05-13T09:41:49.920Z","2017-05-13T09:41:48.932Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-868, -945]","tutorial1.Checkpoint08","""FLUO2""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:FLUO2:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"bbb1e676-a322-4a72-9d0a-ad92069c77e8","2017-05-13T09:41:51.128Z","2017-05-13T09:41:50.136Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"craft","[-868, -945]","tutorial1.Checkpoint08",,,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:FLUO2:DTER]""",,"""PRCONS:RBS2:FLUO2:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"8fc53e67-ae41-490c-b69e-d9bd6e57b301","2017-05-13T09:41:51.142Z","2017-05-13T09:41:50.139Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-868, -945]","tutorial1.Checkpoint08","""DTER""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:FLUO2:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"54a4ab24-bb62-4671-9ac2-6dedaf814a44","2017-05-13T09:41:52.082Z","2017-05-13T09:41:51.101Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-868, -945]","tutorial1.Checkpoint08","""MOV""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"b1fa6bd8-a847-4827-93b0-367de214ef75","2017-05-13T09:42:01.965Z","2017-05-13T09:42:00.974Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"remove","[-869, -955]","tutorial1.Checkpoint08","""FLUO1""",,,"""slot0[PRBAD3:RBS1:null:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"2d0dac14-07ac-49ff-afc7-c79709889e8b","2017-05-13T09:42:04.786Z","2017-05-13T09:42:03.805Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-869, -955]","tutorial1.Checkpoint08","""MOV""",,,"""slot0[PRBAD3:RBS1:MOV:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"0639674d-64e6-4171-97c1-8a0129e4a798","2017-05-13T09:42:05.247Z","2017-05-13T09:42:04.269Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-869, -955]","tutorial1.Checkpoint08","""FLUO2""",,,"""slot0[PRBAD3:RBS1:FLUO2:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"f74dfc21-05b4-443e-809d-3160fbfc4819","2017-05-13T09:42:05.248Z","2017-05-13T09:42:04.266Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"craft","[-869, -955]","tutorial1.Checkpoint08",,,,"""slot0[PRBAD3:RBS1:FLUO2:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,"""PRBAD3:RBS1:FLUO2:DTER""",,"""100""",,,,,,,,,,,,,"""100""",
"8fa167b7-e64b-4ec0-aff0-5211c21bdf04","2017-05-13T09:42:57.504Z","2017-05-13T09:42:56.508Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-876, -953]","tutorial1.Checkpoint08","""MOV""",,,"""slot0[PRBAD3:RBS1:MOV:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"a4c8e56a-e7ec-48cf-beae-48c4ca9aee77","2017-05-13T09:42:58.367Z","2017-05-13T09:42:57.386Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-876, -953]","tutorial1.Checkpoint08","""FLUO1""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"b06c4f2e-8bd3-4a86-bdb9-db500c3c8c32","2017-05-13T09:43:07.978Z","2017-05-13T09:43:06.997Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"remove","[-871, -949]","tutorial1.Checkpoint08","""PRCONS""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[null:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"65fe8bda-b3b4-4b4e-9788-34c626e0ce50","2017-05-13T09:43:09.549Z","2017-05-13T09:43:08.568Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-871, -949]","tutorial1.Checkpoint08","""PRCONS""",,,"""slot0[PRBAD3:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"bcc4e83e-d548-432a-ac79-d19d5f85b2dd","2017-05-13T09:43:10.465Z","2017-05-13T09:43:09.479Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"remove","[-871, -949]","tutorial1.Checkpoint08","""PRBAD3""",,,"""slot0[null:RBS1:FLUO1:DTER], slot1[PRCONS:RBS2:MOV:DTER]""",,,,"""100""",,,,,,,,,,,,,"""100""",
