,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
61957,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,5ccc2f3c-ffc3-477c-84f3-78c9c0661cc1,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:11:26.765000+00:00,add,2018-04-27 09:10:57.228000+00:00
61958,"[-253, -711]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,fe2e2f63-7f0b-4e92-a22a-df189e7dd5b1,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:11:34.552000+00:00,reach,2018-04-27 09:11:05.017000+00:00
61959,"[-195, -763]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""","""RBS2""",,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,49aec503-ddb8-4f97-810b-861dd8648319,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:11:46.404000+00:00,pickup,2018-04-27 09:11:16.892000+00:00
61960,"[-193, -767]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,"""slot0""",,,,8355a46a-4d40-4558-8a27-13f260541a8b,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:12:01.053000+00:00,select,2018-04-27 09:11:31.488000+00:00
61961,"[-193, -767]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,d45bbf7c-f487-41fa-9c37-7ad680b4d7c3,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:12:04.044000+00:00,craft,2018-04-27 09:11:34.475000+00:00
61962,"[-193, -767]",,"""RBS2""",,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,1889fab3-3385-4026-9b68-df7963def7f3,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:12:04.052000+00:00,add,2018-04-27 09:11:34.475000+00:00
61963,"[-193, -767]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,"""slot0""",,,,d5fcf9f4-675a-4e68-bed1-7b0220df8527,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint00,2018-04-27 09:12:09.770000+00:00,select,2018-04-27 09:11:40.245000+00:00
61964,"[-102, -625]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,58692f37-20d6-4ca9-8e4d-5ccfd38fad13,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint01,2018-04-27 09:12:29.490000+00:00,reach,2018-04-27 09:11:59.911000+00:00
61965,"[-102, -625]",,,"""1""",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,c309417a-4f3b-485e-9c07-9f557a6bfbc8,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,tutorial.Checkpoint01,2018-04-27 09:12:29.491000+00:00,newfurthest,2018-04-27 09:11:59.911000+00:00
61966,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,4fe2251b-a3c2-4cad-9a1f-5371cb4ec5a5,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 13:01:15.084000+00:00,hint,2018-04-27 13:01:58.276000+00:00
