,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
62364,"[-178, -551]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,a3b33f0b-45a8-4b6a-80aa-aeda4fe1b62e,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:34:56.507000+00:00,death,2018-04-27 10:29:35.996000+00:00
62376,"[-108, -622]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,,,"""https://docs.google.com/forms/d/e/1FAIpQLSc44RlVE9UuoTJKjA5wtCqq2aOsRoo-7ulFrvVQcTJ2HpLFlg/viewform?usp=pp_url&entry.1083959159=48167450-4258-4ea3-9c84-eaf7bc82572e""",,,,,,,,,c5bd0f23-ff40-4fe4-b37a-465d4e9a8d5d,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:35:18.419000+00:00,gotourl,2018-04-27 10:29:57.861000+00:00
62377,"[-108, -622]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""GAME""",,fbaafd89-0850-4e8c-8a89-e75554d8c8aa,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:35:18.451000+00:00,gotostudy,2018-04-27 10:29:57.860000+00:00
62378,"[-108, -622]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,,,,"""CONTRIBUTEHUD""",,,,,,,,41ab4eb2-0ac1-4bfa-942d-a55e3a99b408,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:35:18.466000+00:00,selectmenu,2018-04-27 10:29:57.860000+00:00
62392,"[-58, -531]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T1_RBS1""",,,,,,,,,,,4d6f9db6-7e96-471c-8428-479db58a9ac9,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:36:14.796000+00:00,hint,2018-04-27 10:30:54.223000+00:00
62393,"[-58, -531]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""","""RBS1""",,"""100""",,,"""90""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,e4ad82a1-8943-45c8-a6ce-a2a7a52951c1,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:36:14.814000+00:00,pickup,2018-04-27 10:30:54.223000+00:00
62399,"[-252, -432]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,d9590ef5-2801-4e84-9736-789f529fa19a,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:37:08.306000+00:00,death,2018-04-27 10:31:47.782000+00:00
62400,"[-289, -443]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T2_NEED3FLAGELLA""",,,,,,,,,,,adb18640-ade6-43ce-aa1d-79c4195f6b73,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:37:26.007000+00:00,hint,2018-04-27 10:32:05.029000+00:00
62405,"[-325, -443]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,4c438edf-9b52-4677-9e5c-f327eac99e86,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:37:33.886000+00:00,death,2018-04-27 10:32:12.818000+00:00
62412,"[-211, -381]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,ebfdc871-b49f-4c01-96a5-a7502f612fd2,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:37:59.585000+00:00,death,2018-04-27 10:32:38.472000+00:00
62414,"[-251, -431]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""0""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,"""AMPICILLIN""",,e92fd60d-9026-4876-92b4-e0961259bcbe,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:38:15.168000+00:00,death,2018-04-27 10:32:54.635000+00:00
