,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
15534,"[-106, -629]",,,"""1""",,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,32068fb4-8b6c-45e0-b9ef-8f5eec2fde7f,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 07:56:53.136000+00:00,newfurthest,2018-05-04 07:56:52.864000+00:00
15535,"[-286, -443]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T2_NEED3FLAGELLA""",,,,,,,,,,,7a1368d0-02bc-4a3f-89bb-d4342370805b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:06.170000+00:00,hint,2018-05-04 08:00:05.770000+00:00
15536,"[-143, -532]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T1_FLUO1""",,,,,,,,,,,b8e3c3b7-814f-491f-b213-761df173772f,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:19.647000+00:00,hint,2018-05-04 08:00:19.463000+00:00
15537,"[-143, -532]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""","""FLUO1""",,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,48c20295-ef3a-4cd9-9f28-d1679f8d7557,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:19.720000+00:00,pickup,2018-05-04 08:00:19.464000+00:00
15538,"[-147, -528]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,bb136dbc-8dab-48c5-b3dc-58bdd2245653,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:32.710000+00:00,craft,2018-05-04 08:00:32.480000+00:00
15539,"[-147, -528]",,"""FLUO1""",,,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,f2e3ab24-ba28-48ab-bd6a-e6905a0e4642,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:32.730000+00:00,add,2018-05-04 08:00:32.488000+00:00
15540,"[-148, -528]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,30a5b63f-847a-482a-962e-b666d555c50b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:54.784000+00:00,add,2018-05-04 08:00:54.596000+00:00
15541,"[-148, -528]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7f011cb0-a278-403a-aa62-bd8f9ecd802b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:55.760000+00:00,add,2018-05-04 08:00:55.618000+00:00
15542,"[-148, -528]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,09ffe023-a842-40f8-a382-12529ea58d6b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:56.155000+00:00,add,2018-05-04 08:00:55.996000+00:00
15543,"[-148, -528]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,a95a9b9c-57b9-48f5-b87a-3499545e1443,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:56.939000+00:00,add,2018-05-04 08:00:56.781000+00:00
15544,"[-148, -528]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,f0f87d06-39c3-4ebe-9855-fbfd28002e0b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:57.459000+00:00,add,2018-05-04 08:00:57.219000+00:00
15545,"[-148, -528]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,aad583e5-5a67-4f25-a338-a9d9532121c7,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:58.210000+00:00,add,2018-05-04 08:00:58.066000+00:00
15546,"[-148, -528]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,62adfc08-cfa8-40ec-a9ef-9530cfd8d09c,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:59.277000+00:00,add,2018-05-04 08:00:59.132000+00:00
15547,"[-148, -528]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,35eb1fa2-2074-4bf9-b4ce-ab90a386d23c,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:00:59.865000+00:00,add,2018-05-04 08:00:59.685000+00:00
15548,"[-148, -528]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,6f9d7279-11c3-49da-bc71-7fe96aa3126d,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:01.231000+00:00,add,2018-05-04 08:01:01.087000+00:00
15549,"[-148, -528]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,a898384b-694d-4aa6-beb9-4fd48693affe,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:03.644000+00:00,add,2018-05-04 08:01:03.501000+00:00
15550,"[-176, -490]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,12c400b8-a46c-41f2-b830-8324f88cba60,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:15.444000+00:00,add,2018-05-04 08:01:15.248000+00:00
15551,"[-176, -490]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,dfae38d6-5b75-412d-a931-31c91c7366ae,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:23.561000+00:00,add,2018-05-04 08:01:23.382000+00:00
15552,"[-62, -527]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""","""RBS1""",,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,fec60b34-fe42-4360-aaf4-058cd7fc40a1,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:35.923000+00:00,pickup,2018-05-04 08:01:35.736000+00:00
15553,"[-62, -527]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T1_RBS1""",,,,,,,,,,,5c570510-b16c-455c-94b3-60ea16829c2d,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:35.923000+00:00,hint,2018-05-04 08:01:35.734000+00:00
15554,"[-59, -531]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,77dc8eee-a5c8-43f3-8a09-4a81d6fbe050,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:44.258000+00:00,craft,2018-05-04 08:01:44.081000+00:00
15555,"[-59, -531]",,"""RBS1""",,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,9322c629-e3f8-4b48-b2ab-9f46b49cd4aa,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:44.267000+00:00,add,2018-05-04 08:01:44.090000+00:00
15556,"[-59, -531]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7d66c0db-c612-4d13-a343-c808ca27d798,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:01:45.931000+00:00,add,2018-05-04 08:01:45.789000+00:00
15557,"[-306, -310]",,,,,"""1""",,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,,"""Nanobot1""",,,,,,,,,,38ef3900-a4a7-4268-8ab2-1afe6f253697,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint01,2018-05-04 08:02:13.260000+00:00,pickup,2018-05-04 08:02:13.077000+00:00
15558,"[-346, -261]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7c3d4d9b-2557-4a6d-91b0-955c26eaa7ca,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint02,2018-05-04 08:02:19.032000+00:00,reach,2018-05-04 08:02:18.838000+00:00
