,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
330,2018-05-18 02:21:05+00:00,A lot,A lot,A lot,A lot,I just played for the first time,17,Male,Extremely,A lot,Until the end of high school,A lot,No,No,Moderately,Move the bacterium,Proteins,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,b6945f6a-c2f0-415c-8f85-39e7665dda55,en,posttest
332,2018-05-18 10:03:37+00:00,Extremely,Slightly,Slightly,Slightly,No / not yet,17,Female,Slightly,A lot,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62c84c4b-85a5-439a-b510-153e3714baf6,en,pretest
334,2018-05-18 15:26:37+00:00,A lot,Moderately,Extremely,Slightly,I played recently on an other computer,15,Male,Extremely,A lot,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i love you,5f4dc96b-bddc-4ac6-993f-1540efcbecee,en,posttest
335,2018-05-18 15:47:38+00:00,Extremely,Extremely,Extremely,Not at all,No / not yet,11,Male,Extremely,Extremely,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d44a0aa8-14af-4963-9419-5e8f96436820,en,pretest
337,2018-05-18 17:31:53+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,15,Male,Extremely,Extremely,Until the end of high school,Extremely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449cad0-48a3-484a-98bb-4c4c49aa32f6,en,pretest
338,2018-05-18 19:00:54+00:00,Slightly,Slightly,Extremely,Moderately,No / not yet,12,Male,A lot,Moderately,Not even in middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9fb348d-1519-459a-8d50-73e8dfaddbc1,en,pretest
343,2018-05-19 17:24:40+00:00,Slightly,Moderately,Slightly,Slightly,No / not yet,22,Male,A lot,Moderately,Until bachelor's degree,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d7b0867-7d70-4220-a1a2-48a74d47f27a,en,pretest
349,2018-05-20 17:53:28+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,112,Prefer not to say,Not at all,Not at all,Not even in middle school,Not at all,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63d76fac-f3b5-4d3e-97e7-e9ee5de366ae,en,pretest
352,2018-05-21 16:53:01+00:00,Slightly,Moderately,Extremely,Moderately,No / not yet,11,Male,Extremely,A lot,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"i want to learn about bacteria
",1a9e789d-d9a8-4133-a899-94ea5c020b59,en,pretest
355,2018-05-21 18:13:53+00:00,Slightly,Slightly,Slightly,Slightly,No / not yet,14,Male,Extremely,Extremely,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e486e07-b788-4761-980c-8ac61a491a7b,en,pretest
