,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
696,2018-04-17 13:34:34+00:00,Moderately,Moderately,A lot,Moderately,No / not yet,17,Male,A lot,Slightly,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cee3fcf7-d49d-4889-9778-9ae768c39d82,fr,pretest
697,2018-04-17 14:03:07+00:00,Slightly,Not at all,Moderately,Slightly,No / not yet,12,Other,Slightly,Moderately,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,"Under blue light, all the time",I don't know,It produces nothing since it induces itself,,e4ccc57d-4039-4ef0-98fe-283233bea8be,fr,pretest
699,2018-04-17 14:15:58+00:00,Moderately,A lot,Extremely,Extremely,I just played for the first time,19,Male,Extremely,Moderately,Until bachelor's degree,Extremely,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,I don't know,None of these,None of these,PR,None of these,TER,CDS,None of these,None of these,None of these,None of these,None of these,Plasmid,None of these,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,6627912f-da9b-4406-a119-7b92c53af450,fr,posttest
700,2018-04-17 14:26:00+00:00,Slightly,Slightly,A lot,Moderately,I just played for the first time,17,Male,A lot,Slightly,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Plasmid,I don't know,The bricks are not well-ordered,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",Nothing,I don't know,compliqué...,cee3fcf7-d49d-4889-9778-9ae768c39d82,fr,posttest
701,2018-04-17 14:29:34+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,13,Female,A lot,Moderately,Not even in middle school,A lot,No,Yes,Not applicable: not played yet,Move the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,9f4e5e1b-a650-45aa-b72d-b9de5e3083b2,fr,pretest
702,2018-04-17 14:32:07+00:00,Moderately,Moderately,A lot,A lot,No / not yet,50,Female,Moderately,Slightly,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,pas evidente les dernières questions :-),4ddd709e-f420-4586-8327-0e4da00cd9b5,fr,pretest
703,2018-04-17 14:43:28+00:00,Moderately,Slightly,A lot,A lot,I just played for the first time,12,Other,Slightly,Moderately,Not even in middle school,Moderately,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",The bacterium dies,It produces nothing since it induces itself,,e4ccc57d-4039-4ef0-98fe-283233bea8be,fr,posttest
704,2018-04-17 14:58:36+00:00,A lot,Moderately,A lot,A lot,No / not yet,17,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cb03d106-69f5-4504-bd05-38c0fef5b63c,fr,pretest
705,2018-04-17 15:08:41+00:00,A lot,A lot,Moderately,Moderately,I just played for the first time,50,Female,Moderately,Slightly,Until the end of high school,Not at all,No,Yes,Moderately,Gather nanobots,I don't know,Ampicillin,Plasmid,I don't know,I don't know,RBS,TER,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,TER,I don't know,It makes it possible to move faster,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Flagella quickly disappear one by one,I don't know,,4ddd709e-f420-4586-8327-0e4da00cd9b5,fr,posttest
707,2018-04-17 16:03:31+00:00,Slightly,Slightly,A lot,Slightly,No / not yet,15,Female,A lot,Not at all,Not even in middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808098d1-b48f-4b0d-93cc-0fdf217b2163,fr,pretest
