,antecedants,consequents,support,confidence
52,"frozenset({'Q26', 'Q21', 'Q1', 'Q27'})","frozenset({'Q20', 'Q19'})",130,0.948905109489051
53,"frozenset({'Q26', 'Q21', 'Q27'})","frozenset({'Q20', 'Q1', 'Q19'})",130,0.8552631578947368
54,"frozenset({'Q19', 'Q26', 'Q21', 'Q1', 'Q20'})",frozenset({'Q27'}),130,0.9420289855072463
55,"frozenset({'Q26', 'Q21', 'Q1', 'Q20'})","frozenset({'Q27', 'Q19'})",130,0.9420289855072463
56,"frozenset({'Q26', 'Q21', 'Q20'})","frozenset({'Q1', 'Q27', 'Q19'})",130,0.8609271523178808
57,"frozenset({'Q20', 'Q21', 'Q1', 'Q19'})","frozenset({'Q26', 'Q27'})",130,0.9285714285714286
58,"frozenset({'Q21', 'Q1', 'Q19'})","frozenset({'Q26', 'Q20', 'Q27'})",130,0.8843537414965986
59,"frozenset({'Q21', 'Q1'})","frozenset({'Q26', 'Q20', 'Q27', 'Q19'})",130,0.8666666666666667
60,"frozenset({'Q20', 'Q1', 'Q19'})","frozenset({'Q26', 'Q21', 'Q27'})",130,0.896551724137931
61,"frozenset({'Q20', 'Q1'})","frozenset({'Q26', 'Q21', 'Q27', 'Q19'})",130,0.8904109589041096
62,"frozenset({'Q21', 'Q20', 'Q1'})","frozenset({'Q26', 'Q27', 'Q19'})",130,0.9285714285714286
63,"frozenset({'Q26', 'Q1', 'Q20', 'Q19'})","frozenset({'Q21', 'Q27'})",130,0.9219858156028369
64,"frozenset({'Q26', 'Q1', 'Q19'})","frozenset({'Q20', 'Q21', 'Q27'})",130,0.8552631578947368
65,"frozenset({'Q26', 'Q1', 'Q20'})","frozenset({'Q21', 'Q27', 'Q19'})",130,0.9154929577464789
66,"frozenset({'Q26', 'Q21', 'Q20', 'Q19'})","frozenset({'Q1', 'Q27'})",130,0.8666666666666667
67,"frozenset({'Q26', 'Q21', 'Q1', 'Q19'})","frozenset({'Q20', 'Q27'})",130,0.9027777777777778
68,"frozenset({'Q26', 'Q21', 'Q1'})","frozenset({'Q20', 'Q27', 'Q19'})",130,0.8904109589041096
69,"frozenset({'Q26', 'Q21', 'Q1', 'Q27', 'Q20'})",frozenset({'Q19'}),130,1.0
70,"frozenset({'Q26', 'Q21', 'Q27', 'Q20'})","frozenset({'Q1', 'Q19'})",130,0.9090909090909091
71,"frozenset({'Q22', 'Q21', 'Q20', 'Q27', 'Q19'})",frozenset({'Q26'}),118,1.0
72,"frozenset({'Q22', 'Q20', 'Q27', 'Q19'})","frozenset({'Q26', 'Q21'})",118,0.9915966386554622
73,"frozenset({'Q22', 'Q27', 'Q19'})","frozenset({'Q26', 'Q21', 'Q20'})",118,0.9365079365079365
74,"frozenset({'Q22', 'Q27'})","frozenset({'Q26', 'Q21', 'Q20', 'Q19'})",118,0.9291338582677166
75,"frozenset({'Q22', 'Q20', 'Q27'})","frozenset({'Q26', 'Q21', 'Q19'})",118,0.9915966386554622
76,"frozenset({'Q22', 'Q21', 'Q27', 'Q19'})","frozenset({'Q26', 'Q20'})",118,0.9516129032258065
77,"frozenset({'Q22', 'Q21', 'Q27'})","frozenset({'Q26', 'Q20', 'Q19'})",118,0.9516129032258065
78,"frozenset({'Q22', 'Q21', 'Q20', 'Q27'})","frozenset({'Q26', 'Q19'})",118,1.0
79,"frozenset({'Q26', 'Q20', 'Q22', 'Q27', 'Q19'})",frozenset({'Q21'}),118,0.9915966386554622
80,"frozenset({'Q26', 'Q22', 'Q27', 'Q19'})","frozenset({'Q20', 'Q21'})",118,0.9365079365079365
81,"frozenset({'Q26', 'Q22', 'Q27'})","frozenset({'Q20', 'Q21', 'Q19'})",118,0.9291338582677166
82,"frozenset({'Q26', 'Q20', 'Q22', 'Q27'})","frozenset({'Q21', 'Q19'})",118,0.9915966386554622
83,"frozenset({'Q26', 'Q21', 'Q22', 'Q27', 'Q19'})",frozenset({'Q20'}),118,0.9516129032258065
84,"frozenset({'Q26', 'Q21', 'Q22', 'Q27'})","frozenset({'Q20', 'Q19'})",118,0.9516129032258065
85,"frozenset({'Q19', 'Q26', 'Q21', 'Q22', 'Q20'})",frozenset({'Q27'}),118,0.944
86,"frozenset({'Q26', 'Q21', 'Q22', 'Q20'})","frozenset({'Q27', 'Q19'})",118,0.944
87,"frozenset({'Q22', 'Q21', 'Q20', 'Q19'})","frozenset({'Q26', 'Q27'})",118,0.921875
88,"frozenset({'Q22', 'Q20', 'Q19'})","frozenset({'Q26', 'Q21', 'Q27'})",118,0.9076923076923077
89,"frozenset({'Q22', 'Q20'})","frozenset({'Q26', 'Q21', 'Q27', 'Q19'})",118,0.9076923076923077
90,"frozenset({'Q22', 'Q21', 'Q19'})","frozenset({'Q26', 'Q20', 'Q27'})",118,0.8740740740740741
91,"frozenset({'Q22', 'Q21'})","frozenset({'Q26', 'Q20', 'Q27', 'Q19'})",118,0.8740740740740741
92,"frozenset({'Q22', 'Q21', 'Q20'})","frozenset({'Q26', 'Q27', 'Q19'})",118,0.921875
93,"frozenset({'Q26', 'Q20', 'Q22', 'Q19'})","frozenset({'Q21', 'Q27'})",118,0.9365079365079365
94,"frozenset({'Q26', 'Q22', 'Q19'})","frozenset({'Q20', 'Q21', 'Q27'})",118,0.8805970149253731
95,"frozenset({'Q26', 'Q22'})","frozenset({'Q20', 'Q21', 'Q27', 'Q19'})",118,0.8676470588235294
96,"frozenset({'Q26', 'Q20', 'Q22'})","frozenset({'Q21', 'Q27', 'Q19'})",118,0.9365079365079365
97,"frozenset({'Q26', 'Q21', 'Q22', 'Q19'})","frozenset({'Q20', 'Q27'})",118,0.9007633587786259
98,"frozenset({'Q26', 'Q21', 'Q22'})","frozenset({'Q20', 'Q27', 'Q19'})",118,0.9007633587786259
99,"frozenset({'Q26', 'Q21', 'Q22', 'Q27', 'Q20'})",frozenset({'Q19'}),118,1.0
100,"frozenset({'Q22', 'Q21', 'Q20', 'Q27'})",frozenset({'Q26'}),118,1.0
101,"frozenset({'Q22', 'Q20', 'Q27'})","frozenset({'Q26', 'Q21'})",118,0.9915966386554622
102,"frozenset({'Q22', 'Q27'})","frozenset({'Q26', 'Q21', 'Q20'})",118,0.9291338582677166
103,"frozenset({'Q22', 'Q21', 'Q27'})","frozenset({'Q26', 'Q20'})",118,0.9516129032258065
104,"frozenset({'Q26', 'Q20', 'Q22', 'Q27'})",frozenset({'Q21'}),118,0.9915966386554622
105,"frozenset({'Q26', 'Q22', 'Q27'})","frozenset({'Q20', 'Q21'})",118,0.9291338582677166
106,"frozenset({'Q26', 'Q21', 'Q22', 'Q27'})",frozenset({'Q20'}),118,0.9516129032258065
107,"frozenset({'Q26', 'Q21', 'Q22', 'Q20'})",frozenset({'Q27'}),118,0.944
108,"frozenset({'Q22', 'Q21', 'Q20'})","frozenset({'Q26', 'Q27'})",118,0.921875
109,"frozenset({'Q22', 'Q20'})","frozenset({'Q26', 'Q21', 'Q27'})",118,0.9076923076923077
110,"frozenset({'Q22', 'Q21'})","frozenset({'Q26', 'Q20', 'Q27'})",118,0.8740740740740741
111,"frozenset({'Q26', 'Q20', 'Q22'})","frozenset({'Q21', 'Q27'})",118,0.9365079365079365
112,"frozenset({'Q26', 'Q22'})","frozenset({'Q20', 'Q21', 'Q27'})",118,0.8676470588235294
113,"frozenset({'Q26', 'Q21', 'Q22'})","frozenset({'Q20', 'Q27'})",118,0.9007633587786259
