,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
93,2018-04-11 00:56:06+00:00,Extremely,Extremely,A lot,A lot,No / not yet,18,Male,A lot,Extremely,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",I don't know,It produces arabinose all the time,,8e8acb8f-c28c-4822-8209-781995b5067e,en,pretest
94,2018-04-11 01:33:59+00:00,Extremely,Extremely,A lot,A lot,I just played for the first time,18,Male,A lot,Extremely,Until the end of high school,Moderately,No,Yes,Extremely,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,TER,PR,TER,CDS,RBS,PR,CDS,PR,RBS,Plasmid,RBS,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,"Very fun game, surprising to see how much I learned in a little amount of time.",8e8acb8f-c28c-4822-8209-781995b5067e,en,posttest
180,2018-04-23 22:47:59+00:00,Extremely,A lot,A lot,Moderately,No / not yet,15,Female,A lot,A lot,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I do not know anything,2bd8c00c-bceb-4139-a50c-51b71c1f8d0f,en,pretest
181,2018-04-23 23:04:27+00:00,Extremely,A lot,Extremely,A lot,I just played for the first time,15,Female,A lot,A lot,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,TER,CDS,Plasmid,I don't know,None of these,RBS,RBS,Plasmid,PR,CDS,RBS,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,"it is a decent game I would just say the moving mechanics need some improvement , but other than the I think it is a fine program :)",2bd8c00c-bceb-4139-a50c-51b71c1f8d0f,en,posttest
