,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
3,2018-03-23 20:15:43+00:00,,,,,I played it some time ago,31,Male,Moderately,Moderately,Until the end of middle school,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonjour c'est daniel,670c6701-bba0-4fda-875c-8a4e6d01ed0c,en,pretest
4,2018-03-24 04:28:45+00:00,,,,,No / not yet,54,Male,Moderately,Extremely,At least until master's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cb9dd6c-5585-4b6a-a98b-2aad0ab69ad3,en,pretest
5,2018-03-24 14:20:28+00:00,,,,,No / not yet,99,Male,A lot,Moderately,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a30ff250-2dcb-425b-a69b-ccceedbe07f1,en,pretest
6,2018-03-24 18:27:40+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,None of these,None of these,None of these,None of these,None of these,CDS,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,b9be0024-b77d-4b7b-b26a-f2e3d82ecafe,en,posttest
8,2018-03-25 15:19:28+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,c4d5c2ab-a86a-4878-9b9c-3bc29628a261,en,posttest
9,2018-03-25 19:01:12+00:00,,,,,No / not yet,20,Female,Slightly,Extremely,Until bachelor's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8ed68b8-42d5-4f15-b76a-40aab1e08d79,en,pretest
13,2018-03-26 14:17:49+00:00,,,,,No / not yet,23,Male,Slightly,Slightly,Until the end of high school,Not at all,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a2e6554-4b86-471e-8347-b89eb8aea320,en,pretest
14,2018-03-26 15:13:16+00:00,,,,,No / not yet,25,Prefer not to say,Not at all,Not at all,Not even in middle school,Not at all,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d78e742-4628-46c6-af65-70412e4ec9c3,en,pretest
16,2018-03-26 20:02:28+00:00,,,,,No / not yet,40,Prefer not to say,Not at all,Extremely,At least until master's degree,Not at all,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afa9a7f2-26bf-4f8d-8152-7ed282b34d94,en,pretest
17,2018-03-26 20:02:45+00:00,,,,,No / not yet,24,Male,Extremely,Extremely,At least until master's degree,Extremely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833ca66-ebc4-4638-a538-c47a3a2e6485,en,pretest
18,2018-03-26 21:54:36+00:00,,,,,No / not yet,18,Male,Moderately,A lot,Not even in middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f338afa3-7e75-4428-a685-df4860380f4f,en,pretest
20,2018-03-27 18:23:53+00:00,A lot,A lot,Moderately,Moderately,No / not yet,22,Male,Slightly,A lot,Until bachelor's degree,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002c1ce-f26f-475c-9d98-db5d44e6fede,en,pretest
23,2018-03-28 11:01:00+00:00,A lot,A lot,A lot,A lot,No / not yet,18,Prefer not to say,A lot,A lot,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235b8d54-0657-4598-a840-3b4a9a84f8b6,en,pretest
27,2018-03-29 14:18:20+00:00,A lot,A lot,A lot,Moderately,No / not yet,47,Male,A lot,A lot,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"It produces more and more arabinose after being induced, because it induces itself",,690efbb8-507a-48a0-aff0-17787d5f1e52,en,pretest
31,2018-03-29 23:58:03+00:00,A lot,A lot,A lot,Slightly,No / not yet,22,Male,A lot,A lot,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bccb319c-6fac-43bf-bffe-0d3adb15b618,en,pretest
33,2018-03-30 14:39:48+00:00,Moderately,Moderately,Extremely,A lot,No / not yet,15,Male,Extremely,Moderately,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,23fee4e4-4ba9-4ed0-b53e-de91239a5fa0,en,pretest
34,2018-03-30 23:16:13+00:00,A lot,Extremely,Extremely,Extremely,No / not yet,15,Female,A lot,Extremely,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc5c821b-f709-4e96-a920-ce100f18d433,en,pretest
35,2018-03-31 16:17:05+00:00,Extremely,Extremely,Extremely,A lot,No / not yet,17,Female,A lot,Extremely,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b00da36c-80c9-4cf1-9933-5dc91ecc1686,en,pretest
39,2018-03-31 19:55:07+00:00,A lot,Not at all,Extremely,Not at all,I played it some time ago,27,Prefer not to say,Extremely,Extremely,At least until master's degree,Extremely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trop longue,aa031a4f-ed93-4e34-a08a-6bd23a2e09c1,en,pretest
42,2018-04-01 14:18:22+00:00,Extremely,Moderately,Extremely,A lot,No / not yet,26,Male,Extremely,A lot,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47503c20-90c6-4494-b4ef-8b1c5c19f9df,en,pretest
44,2018-04-02 13:25:18+00:00,A lot,A lot,Slightly,A lot,No / not yet,35,Prefer not to say,Slightly,A lot,Until the end of high school,Rarely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20d9c799-235e-42cd-b34d-f755e9664011,en,pretest
49,2018-04-04 02:52:42+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,33,Prefer not to say,Moderately,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f79d82b-c565-4c27-a999-d4d3cd46b583,en,pretest
51,2018-04-04 17:36:10+00:00,A lot,Moderately,Slightly,Moderately,No / not yet,36,Female,Slightly,Extremely,Until bachelor's degree,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acf84398-af38-4508-b160-8b81a42f2b1f,en,pretest
52,2018-04-04 18:06:59+00:00,A lot,Moderately,A lot,Extremely,No / not yet,21,Male,Extremely,A lot,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574240d0-45b4-416b-96c7-f19117c51bc8,en,pretest
53,2018-04-04 19:43:42+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,21,Male,Not at all,Not at all,Not even in middle school,Not at all,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"none
",7106ee74-9be2-4225-bd13-bec8f65fae78,en,pretest
57,2018-04-05 12:43:19+00:00,Extremely,Extremely,Moderately,Extremely,No / not yet,18,Male,Slightly,Extremely,Until bachelor's degree,Rarely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,39a160da-ed5a-4261-af3d-754f89ffd80c,en,pretest
58,2018-04-05 13:12:54+00:00,A lot,A lot,A lot,A lot,No / not yet,15,Male,A lot,A lot,Until the end of middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67ef515e-0245-453f-9f59-92f9f6a1c8d1,en,pretest
60,2018-04-06 14:19:16+00:00,A lot,Extremely,A lot,A lot,No / not yet,54,Male,Moderately,A lot,Until bachelor's degree,Moderately,"Yes, and I know what it means",Yes,Not applicable: not played yet,I don't know,DNA sequences,Ampicillin,Plasmid,TER,PR,I don't know,TER,CDS,RBS,None of these,CDS,PR,RBS,I don't know,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,4e5e410c-22d4-44c7-82cc-6a25cff97da0,en,pretest
62,2018-04-06 14:50:30+00:00,A lot,Extremely,A lot,A lot,I just played for the first time,54,Male,Moderately,A lot,Until bachelor's degree,Moderately,"Yes, and I know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,CDS,TER,CDS,RBS,CDS,CDS,PR,RBS,Plasmid,PR,The bricks are not well-ordered,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,4e5e410c-22d4-44c7-82cc-6a25cff97da0,en,posttest
63,2018-04-06 15:28:25+00:00,Extremely,Extremely,A lot,Extremely,No / not yet,36,Male,A lot,Extremely,At least until master's degree,A lot,"Yes, and I know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,Plasmid,TER,PR,CDS,TER,CDS,None of these,CDS,CDS,PR,PR,Plasmid,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,0fa541b8-7aaf-418a-bc4d-a768d6f27029,en,pretest
64,2018-04-06 16:32:47+00:00,Extremely,A lot,Extremely,Extremely,No / not yet,19,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,Plasmid,I don't know,I don't know,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,41466867-cd12-4471-9d7e-772435257900,en,pretest
65,2018-04-06 17:59:03+00:00,Slightly,Slightly,Not at all,Not at all,No / not yet,17,Female,Slightly,Slightly,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a020919-255a-4588-a49d-d47178ab9b8f,en,pretest
