,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
7544,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,e32e39bb-24e8-4668-bb22-5e018d733e38,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:59:27.485000+00:00,remove,2018-04-11 00:59:33.034000+00:00
8099,"[-229, -608]",,,,,,,,,,,,,,8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,"""webglplayer""",,,,,,b4b4e68c-5da9-479b-b0b8-409f201df8d3,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:56:43.403000+00:00,start,2018-04-11 00:56:48.810000+00:00
8100,"[0, 0]",,,"""0""",,,,"""""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,58bdf7d6-82ee-40e3-8113-53555a86ec10,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:57:26.408000+00:00,newfurthest,2018-04-11 00:57:31.470000+00:00
8101,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,0ca97775-7a94-4ae1-aded-6b1861412fe4,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:59:03.751000+00:00,craft,2018-04-11 00:59:08.729000+00:00
8102,"[-229, -608]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,"""slot0""",,,,6ab10063-0eb6-44dd-9733-7885d354191a,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:59:25.767000+00:00,select,2018-04-11 00:59:31.172000+00:00
8103,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,80022392-663b-4904-a99e-0c7b0ebf67ba,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:59:35.350000+00:00,add,2018-04-11 00:59:40.760000+00:00
8104,"[-229, -608]",,,,,,,,,,,,,,8e8acb8f-c28c-4822-8209-781995b5067e,"""HOWTOMOVE""",,,,,,,,,,,8fa2df17-f44a-4640-8ab1-d66e85982a29,,140927ab-7263-4588-a01e-b61d63a842d5,,2018-04-11 00:59:49.032000+00:00,hint,2018-04-11 00:59:54.437000+00:00
8105,"[-258, -714]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,2bd8191a-6fd8-4298-a3bc-527037bd2fb8,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:12.389000+00:00,reach,2018-04-11 01:00:17.777000+00:00
8106,"[-191, -766]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""","""RBS2""",,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,813ae8b3-1bbd-499f-b629-11a58ffd8d8b,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:23.026000+00:00,pickup,2018-04-11 01:00:28.428000+00:00
8107,"[-190, -770]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,"""slot0""",,,,55bea591-ad41-487c-aa86-c38c2bcf0a66,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:34.600000+00:00,select,2018-04-11 01:00:40.010000+00:00
8108,"[-190, -770]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,089d466e-88d4-47e1-9aa8-36ff23acb978,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:35.680000+00:00,craft,2018-04-11 01:00:41.221000+00:00
8109,"[-190, -770]",,"""RBS2""",,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,,,,,bfb710fe-00cd-4c5e-a24e-067d55a0edc5,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:35.820000+00:00,add,2018-04-11 01:00:41.227000+00:00
8110,"[-190, -770]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",8e8acb8f-c28c-4822-8209-781995b5067e,,,,,,,,"""slot0""",,,,12e30aef-586b-4ac9-af7d-2706374062b6,,140927ab-7263-4588-a01e-b61d63a842d5,tutorial.Checkpoint00,2018-04-11 01:00:38.248000+00:00,select,2018-04-11 01:00:43.797000+00:00
