"Timestamp","Aimeriez-vous en savoir plus sur... [La biologie]","Aimeriez-vous en savoir plus sur... [La biologie de synthèse]","Aimeriez-vous en savoir plus sur... [Les jeux vidéo]","Aimeriez-vous en savoir plus sur... [L'ingénierie]","Avez-vous déjà joué à Hero.Coli ?","Quel âge avez-vous ?"," [Quel est votre sexe ?]"," [Vous intéressez-vous aux jeux vidéo ?]"," [Vous intéressez-vous à la biologie ?]"," [Combien de temps avez-vous étudié la biologie ?]"," [Jouez-vous aux jeux vidéo ?]"," [Avant Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ou des BioBriques ?]","Êtes-vous volontaire pour contribuer à notre étude en répondant à 9 questions supplémentaires ? (5 min)"," [Vous êtes-vous amusé en jouant au jeu ?]"," [Pour modifier les capacités de la bactérie il faut...]"," [Que sont les BioBriques et les constructions ?]"," [Trouvez l'antibiotique :]","Les BioBriques : [Le Plasmide est...]","Les BioBriques : [Représente la fin d'une construction...]","Les BioBriques : [Le Promoteur est...]","Les BioBriques : [Représente la capacité fournie...]","Les BioBriques : [Le Terminateur est...]","Les BioBriques : [Code une protéine...]","Les BioBriques : [Le RBS est...]","Les BioBriques : [Peut représenter la GFP...]","Les BioBriques : [La Séquence Codante est...]","Les BioBriques : [Contrôle quand la construction est active...]","Les BioBriques : [Contrôle le niveau d'expression, et donc à quel point la capacité est affectée...]","Les BioBriques : [Permet d'équiper une construction supplémentaire...]","Les BioBriques : [L'Opérateur est...]"," [construction 1]"," [construction 2]"," [construction 3]"," [construction 4]"," [construction 5]"," [construction 6]"," [construction 7]"," [construction 8]"," [Quand la fluorescence verte se produit-elle ?]"," [Que se passe-t-il quand on enlève la construction génétique de déplacement ?]","Dernière question. La page suivante ne contient que les remarques. [Imaginez : vous venez d'assembler une construction fonctionnelle qui contient un promoteur induit à l'arabinose et une séquence codante (CDS) pour l'arabinose. Que se passe-t-il ?]","Vous pouvez ajouter des remarques ici.","⚠ Ne pas modifier"
"2018/03/24 4:07:51 PM GMT+2","","","","","Non / pas encore","26","Homme","Beaucoup","Énormément","Au moins jusqu'au master","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","df7afec7-0029-44b0-961f-b37b47ccea96"
"2018/03/24 4:31:10 PM GMT+2","","","","","Non / pas encore","18","Homme","Un peu","Énormément","Jusqu'au bac","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8f895aac-0bbc-4861-8fa3-31b6c2203a2a"
"2018/03/24 5:36:16 PM GMT+2","","","","","Non / pas encore","89","Homme","Un peu","Moyennement","Jusqu'au brevet","Un peu","Oui, et je sais ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dfhwhw","ec47694a-73d8-4134-a0ab-b2e401c2c302"
"2018/03/24 9:39:12 PM GMT+2","","","","","Non / pas encore","17","Homme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Oui, et je sais ce que c'est","Oui","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","5","1","Je ne sais pas","3","1","Aucun de ces éléments","Je ne sais pas","Je ne sais pas","3","2","4","Je ne sais pas","2","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Je ne sais pas","","e8d8c945-315e-4a49-8ca5-93a2de6b903f"
"2018/03/24 10:03:50 PM GMT+2","","","","","Non / pas encore","17","Homme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Oui, et je sais ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e8d8c945-315e-4a49-8ca5-93a2de6b903f"
"2018/03/27 11:23:48 AM GMT+2","","","","","Je viens d'y jouer pour la première fois","","","","","","","","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","5","1","2","3","1","3","4","3","3","2","4","5","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle produit de plus en plus d'arabinose après avoir été induite, puisqu'elle s'induit elle-même.","test - 1st play path","603e9d2c-1d85-4173-86f1-354f41871da2"
"2018/03/27 11:49:03 AM GMT+2","","","","","Je viens d'y jouer pour la première fois","","","","","","","","","","Ramasser des nanorobots","Des séquences d'ARN","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","3f675328-0bdd-469b-8bc7-3666238ee90a"
"2018/03/29 11:43:34 AM GMT+2","Moyennement","Énormément","Moyennement","Énormément","Non / pas encore","27","Femme","Moyennement","Beaucoup","Au moins jusqu'au master","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b78833a7-1b71-4752-9518-5f20d189a948"
"2018/03/29 11:45:48 AM GMT+2","Beaucoup","Beaucoup","Moyennement","Un peu","Non / pas encore","17","Femme","Moyennement","Énormément","Jusqu'au brevet","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d302f743-72e5-41f6-bac4-8605b4be2b10"
"2018/03/29 6:05:54 PM GMT+2","Beaucoup","Beaucoup","Moyennement","Un peu","Non / pas encore","17","Femme","Un peu","Beaucoup","Jusqu'au brevet","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a5bf70ae-59d2-40ad-8eed-52af5738cb34"
"2018/04/04 4:26:32 PM GMT+2","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Non / pas encore","0","Femme","Pas du tout","Pas du tout","Jamais, pas même au collège","Pas du tout","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test cite des sciences","0efcffb9-22fb-42c5-ac9e-0352889187d5"
"2018/04/04 8:47:09 PM GMT+2","Un peu","Beaucoup","Énormément","Énormément","Non / pas encore","20","Homme","Énormément","Moyennement","Jusqu'au bac","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Des séquences d'ARN","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","12497da0-b556-4ab2-9686-9092a4bb42fa"
"2018/04/07 9:09:10 AM GMT+2","Moyennement","Moyennement","Moyennement","Moyennement","Non / pas encore","66","Je ne souhaite pas le préciser","Moyennement","Moyennement","Jusqu'au bac","Moyennement","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36d1d0e4-6d60-45bf-a837-9cedf9c68669"
"2018/04/08 2:27:32 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Moyennement","Non / pas encore","24","Homme","Moyennement","Beaucoup","Au moins jusqu'au master","Moyennement","Oui, et je sais ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f6bea89-768a-42d5-974b-b6e5c1c29cdb"
"2018/04/10 2:42:54 PM GMT+2","Un peu","Pas du tout","Moyennement","Moyennement","Non / pas encore","21","Homme","Un peu","Pas du tout","Jusqu'au brevet","Un peu","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06181ef-a682-4fc0-8a29-4828b94e563b"
"2018/04/10 2:47:20 PM GMT+2","Pas du tout","Un peu","Beaucoup","Un peu","Non / pas encore","23","Homme","Énormément","Moyennement","Jusqu'au bac","Énormément","Non","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Aucun de ces éléments","5","2","3","Je ne sais pas","5","Je ne sais pas","Je ne sais pas","Aucun de ces éléments","1","4","1","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Je ne sais pas","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de résister aux antibiotiques","Sous lumière bleue, tout le temps","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","d698bcab-52a7-40ab-973f-4e5c6dad23a2"
"2018/04/10 2:52:15 PM GMT+2","Moyennement","Beaucoup","Beaucoup","Beaucoup","Non / pas encore","24","Homme","Beaucoup","Moyennement","Jusqu'au bac","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit de l'arabinose tout le temps.","Je ne me suis pas assez cultivé en biologie, je ne connais rien malheureusement","6cf861f2-93ff-445a-831f-e46ca50720a5"
"2018/04/10 3:23:36 PM GMT+2","Beaucoup","Beaucoup","Énormément","Beaucoup","Non / pas encore","24","Homme","Énormément","Moyennement","Jusqu'au brevet","Énormément","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ecec7f91-1067-426e-a977-3d53293ded0e"
"2018/04/10 3:30:45 PM GMT+2","Pas du tout","Pas du tout","Moyennement","Un peu","Je viens d'y jouer pour la première fois","","","","","","","","","Pas du tout","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","3","2","Aucun de ces éléments","Je ne sais pas","3","2","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Devant les portes, quand la construction GFP est équipée","Je ne sais pas","Je ne sais pas","","d06181ef-a682-4fc0-8a29-4828b94e563b"
"2018/04/10 3:31:05 PM GMT+2","Moyennement","Beaucoup","Énormément","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des acides aminés","GFP","3","2","2","1","3","5","4","3","1","1","2","1","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle produit la fluorescence verte","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","La bactérie devient lumineuse","Elle ne produit rien puisqu'elle s'induit elle-même","poste1","d698bcab-52a7-40ab-973f-4e5c6dad23a2"
"2018/04/10 3:33:33 PM GMT+2","Beaucoup","Beaucoup","Moyennement","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","Je ne sais pas","1","4","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","2","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Elle permet de résister aux antibiotiques","Les briques ne sont pas dans le bon ordre","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle n'est active que dans les nuages d'arabinose.","","6cf861f2-93ff-445a-831f-e46ca50720a5"
"2018/04/10 4:02:26 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Un peu","Non / pas encore","19","Homme","Beaucoup","Beaucoup","Jusqu'au brevet","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","56ed28ea-6c2d-48c5-be37-142448850eae"
"2018/04/10 4:02:58 PM GMT+2","Moyennement","Moyennement","Énormément","Énormément","Non / pas encore","18","Homme","Énormément","Moyennement","Jusqu'au brevet","Énormément","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","poste 1","262b810a-925a-4744-a150-392afbd819c1"
"2018/04/10 4:08:24 PM GMT+2","Moyennement","Moyennement","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Ramasser des nanorobots","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","poste 1","262b810a-925a-4744-a150-392afbd819c1"
"2018/04/10 4:08:24 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des protéines","Arabinose","1","3","2","3","1","3","2","2","3","2","3","2","2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","poste 2","56ed28ea-6c2d-48c5-be37-142448850eae"
"2018/04/10 4:26:47 PM GMT+2","Beaucoup","Un peu","Énormément","Énormément","Non / pas encore","12","Homme","Beaucoup","Un peu","Jamais, pas même au collège","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","poste 1","09318e51-6794-429d-a7d2-381474c9aa53"
"2018/04/10 4:48:35 PM GMT+2","Beaucoup","Moyennement","Énormément","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","GFP","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Aucun de ces éléments","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, tout le temps","Rien","Je ne sais pas","il faut il jouer longtemps pour comprendre bien le jeu","09318e51-6794-429d-a7d2-381474c9aa53"
"2018/04/10 4:57:26 PM GMT+2","Beaucoup","Beaucoup","Moyennement","Un peu","Non / pas encore","23","Homme","Énormément","Un peu","Jusqu'au bac","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c"
"2018/04/10 5:05:55 PM GMT+2","Moyennement","Un peu","Beaucoup","Un peu","Non / pas encore","23","Homme","Beaucoup","Un peu","Jusqu'au bac","Beaucoup","Non","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Des protéines","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","4731525f-62dd-4128-ab56-3991b403e17e"
"2018/04/10 5:07:32 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Un peu","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","2","2","1","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","3","1","2","4","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle permet de résister aux antibiotiques","Elle permet de résister aux antibiotiques","Sous lumière bleue, tout le temps","La bactérie meurt","Elle produit de plus en plus d'arabinose après avoir été induite, puisqu'elle s'induit elle-même.","","e79d806e-3d0b-49f8-a5e8-23de5548b770"
"2018/04/10 5:17:51 PM GMT+2","Un peu","Un peu","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Je ne sais pas","Arabinose","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","","11f2a074-92cf-4ad7-9ddd-37a08edc2914"
"2018/04/10 5:47:17 PM GMT+2","Un peu","Un peu","Moyennement","Un peu","J'y ai joué il y a un moment","23","Homme","Beaucoup","Un peu","Jusqu'au brevet","Beaucoup","Non","Oui","Pas du tout","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","2","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Devant les portes, quand la construction GFP est équipée","Je ne sais pas","Je ne sais pas","","4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c"
"2018/04/10 6:18:55 PM GMT+2","Pas du tout","Pas du tout","Beaucoup","Un peu","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","3","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","La bactérie devient lumineuse","Je ne sais pas","mettre un onglet explicitant ce qu'il faut faire devant un obstacle, plutôt que de tout expliciter au début ","e0bb3804-6f83-4209-ba29-7ffbf1a634f9"
"2018/04/10 6:34:24 PM GMT+2","Un peu","Pas du tout","Beaucoup","Pas du tout","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","5","1","2","4","1","Aucun de ces éléments","3","3","Je ne sais pas","Je ne sais pas","4","5","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de résister aux antibiotiques","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle n'est active que dans les nuages d'arabinose.","un animateur sympa :D","4731525f-62dd-4128-ab56-3991b403e17e"
"2018/04/10 11:03:48 PM GMT+2","Moyennement","Moyennement","Énormément","Beaucoup","J'y ai joué plusieurs fois récemment","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","4","5","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle ne produit rien puisqu'elle s'induit elle-même","","ecec7f91-1067-426e-a977-3d53293ded0e"
"2018/04/11 1:07:20 PM GMT+2","Beaucoup","Moyennement","Énormément","Énormément","Non / pas encore","26","Homme","Beaucoup","Moyennement","Jusqu'au bac","Beaucoup","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","1","5","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","4","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","081d1c6d-8f95-4d24-9176-a44641e41e8c"
"2018/04/11 1:45:17 PM GMT+2","Moyennement","Moyennement","Énormément","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Extrêmement","Modifier l'ADN de la bactérie","Des séquences d'ARN","Ampicilline","5","Aucun de ces éléments","1","3","Aucun de ces éléments","3","3","3","3","2","4","5","2","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle ne produit rien puisqu'elle s'induit elle-même","","081d1c6d-8f95-4d24-9176-a44641e41e8c"
"2018/04/11 2:15:07 PM GMT+2","Beaucoup","Moyennement","Beaucoup","Beaucoup","Non / pas encore","32","Femme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","2962cada-f998-4cb6-bb25-e8ff2f486dd0"
"2018/04/11 2:19:49 PM GMT+2","Un peu","Un peu","Moyennement","Un peu","Non / pas encore","39","Femme","Un peu","Un peu","Jusqu'au bac","Pas du tout","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","poste 1","4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c"
"2018/04/11 2:36:04 PM GMT+2","Moyennement","Moyennement","Moyennement","Beaucoup","Non / pas encore","12","Femme","Moyennement","Moyennement","Jamais, pas même au collège","Un peu","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa"
"2018/04/11 2:40:17 PM GMT+2","Beaucoup","Moyennement","Énormément","Beaucoup","Non / pas encore","20","Homme","Énormément","Moyennement","Jusqu'au bac","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","ad7b68aa-c031-4368-80c5-ee26e71594f4"
"2018/04/11 3:01:41 PM GMT+2","Moyennement","Moyennement","Moyennement","Beaucoup","Non / pas encore","12","Femme","Moyennement","Moyennement","Jamais, pas même au collège","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","[12 ans, problème technique]","29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa"
