"Timestamp","Aimeriez-vous en savoir plus sur... [La biologie]","Aimeriez-vous en savoir plus sur... [La biologie de synthèse]","Aimeriez-vous en savoir plus sur... [Les jeux vidéo]","Aimeriez-vous en savoir plus sur... [L'ingénierie]","Avez-vous déjà joué à Hero.Coli ?","Quel âge avez-vous ?"," [Quel est votre sexe ?]"," [Vous intéressez-vous aux jeux vidéo ?]"," [Vous intéressez-vous à la biologie ?]"," [Combien de temps avez-vous étudié la biologie ?]"," [Jouez-vous aux jeux vidéo ?]"," [Avant Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ou des BioBriques ?]","Êtes-vous volontaire pour contribuer à notre étude en répondant à 9 questions supplémentaires ? (5 min)"," [Vous êtes-vous amusé en jouant au jeu ?]"," [Pour modifier les capacités de la bactérie il faut...]"," [Que sont les BioBriques et les constructions ?]"," [Trouvez l'antibiotique :]","Les BioBriques : [Le Plasmide est...]","Les BioBriques : [Représente la fin d'une construction...]","Les BioBriques : [Le Promoteur est...]","Les BioBriques : [Représente la capacité fournie...]","Les BioBriques : [Le Terminateur est...]","Les BioBriques : [Code une protéine...]","Les BioBriques : [Le RBS est...]","Les BioBriques : [Peut représenter la GFP...]","Les BioBriques : [La Séquence Codante est...]","Les BioBriques : [Contrôle quand la construction est active...]","Les BioBriques : [Contrôle le niveau d'expression, et donc à quel point la capacité est affectée...]","Les BioBriques : [Permet d'équiper une construction supplémentaire...]","Les BioBriques : [L'Opérateur est...]"," [construction 1]"," [construction 2]"," [construction 3]"," [construction 4]"," [construction 5]"," [construction 6]"," [construction 7]"," [construction 8]"," [Quand la fluorescence verte se produit-elle ?]"," [Que se passe-t-il quand on enlève la construction génétique de déplacement ?]","Dernière question. La page suivante ne contient que les remarques. [Imaginez : vous venez d'assembler une construction fonctionnelle qui contient un promoteur induit à l'arabinose et une séquence codante (CDS) pour l'arabinose. Que se passe-t-il ?]","Vous pouvez ajouter des remarques ici.","⚠ Ne pas modifier"
"2018/04/28 1:15:20 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Modifier l'ADN de la bactérie","Des acides aminés","Terminateur","Je ne sais pas","4","1","Je ne sais pas","Aucun de ces éléments","5","2","1","4","5","Je ne sais pas","1","5","Elle permet de résister aux antibiotiques","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Elle produit la fluorescence verte","Je ne sais pas","Je ne sais pas","Sous lumière bleue, tout le temps","La bactérie meurt","Je ne sais pas","","53e70c1c-3ff2-4849-80e5-738c969ce998"
"2018/04/28 1:16:24 PM GMT+2","Moyennement","Beaucoup","Un peu","Beaucoup","Je viens d'y jouer pour la première fois","","","","","","","","","Moyennement","Je ne sais pas","Je ne sais pas","Ampicilline","5","1","2","4","1","2","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","3","2","Je ne sais pas","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Elle produit la fluorescence verte en présence d'inducteur arabinose","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Devant les portes, quand la construction GFP est équipée","Je ne sais pas","Elle n'est active que dans les nuages d'arabinose.","","f48b03e1-0f7d-49e4-acb0-504299ff41e1"
"2018/04/28 1:34:35 PM GMT+2","Un peu","Moyennement","Beaucoup","Beaucoup","Non / pas encore","12","Homme","Beaucoup","Moyennement","Jamais, pas même au collège","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","1","5","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","2","Je ne sais pas","3","2","2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","2ec42361-423e-4cfd-b7f6-9110a62617b8"
"2018/04/28 2:22:20 PM GMT+2","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Non / pas encore","12","Homme","Beaucoup","Pas du tout","Jamais, pas même au collège","Beaucoup","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86c71536-ee24-4c3d-b856-6a97b63f6217"
"2018/04/28 2:25:55 PM GMT+2","Énormément","Énormément","Beaucoup","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Extrêmement","Modifier l'ADN de la bactérie","Des séquences d'ARN","Je ne sais pas","5","Je ne sais pas","2","Je ne sais pas","Aucun de ces éléments","3","Je ne sais pas","Je ne sais pas","2","Je ne sais pas","Je ne sais pas","Je ne sais pas","4","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Devant les portes, quand la construction GFP est équipée","La bactérie devient lumineuse","Je ne sais pas","se jeux jeux ma beaucoup plus ","2ec42361-423e-4cfd-b7f6-9110a62617b8"
"2018/04/28 2:36:05 PM GMT+2","Beaucoup","Moyennement","Beaucoup","Beaucoup","Non / pas encore","14","Homme","Énormément","Beaucoup","Jusqu'au brevet","Énormément","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","b6d0502a-420d-435e-8b7a-9b42106ca5b4"
"2018/04/28 2:50:45 PM GMT+2","Pas du tout","Pas du tout","Pas du tout","Pas du tout","Non / pas encore","12","Homme","Moyennement","Pas du tout","Jamais, pas même au collège","Moyennement","Non","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86c71536-ee24-4c3d-b856-6a97b63f6217"
"2018/04/28 3:04:44 PM GMT+2","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Non / pas encore","31","Homme","Moyennement","Moyennement","Jusqu'au bac","Un peu","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","d2357cde-2d0f-4e41-8e7e-8dc0f5b9f05b"
"2018/04/28 3:05:18 PM GMT+2","Énormément","Moyennement","Moyennement","Énormément","Non / pas encore","33","Femme","Pas du tout","Énormément","Jusqu'au bac","Pas du tout","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","49eacabd-da6f-4105-92c8-56358bf5760a"
"2018/04/28 3:09:38 PM GMT+2","Un peu","Moyennement","Beaucoup","Beaucoup","Non / pas encore","10","Homme","Moyennement","Un peu","Jamais, pas même au collège","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","90ad99ba-0ced-4bc4-9cfa-89ff2b00a4f2"
"2018/04/28 3:20:58 PM GMT+2","Beaucoup","Beaucoup","Énormément","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Beaucoup","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Aucun de ces éléments","1","2","4","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","3","4","5","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Des aides en plus du tutoriel pourrait je pense aider à progresser plus vite","b6d0502a-420d-435e-8b7a-9b42106ca5b4"
"2018/04/28 3:25:22 PM GMT+2","Beaucoup","Beaucoup","Beaucoup","Moyennement","Non / pas encore","24","Femme","Moyennement","Beaucoup","Jusqu'au bac","Pas du tout","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","ea98662e-4a20-482e-8b06-29e07d7f70ac"
"2018/04/28 3:25:58 PM GMT+2","Moyennement","Moyennement","Un peu","Moyennement","Non / pas encore","27","Femme","Pas du tout","Pas du tout","Jusqu'au bac","Pas du tout","Non","Oui","Ne s'applique pas : pas encore joué","Diviser la bactérie","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","3f719697-7ae0-4a33-8d80-e628de2af720"
"2018/04/28 3:33:28 PM GMT+2","Moyennement","Un peu","Pas du tout","Moyennement","Je viens d'y jouer pour la première fois","","","","","","","","","Un peu","Modifier l'ADN de la bactérie","Des protéines","Ampicilline","Je ne sais pas","Je ne sais pas","5","Je ne sais pas","1","Je ne sais pas","2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle permet de se déplacer plus vite","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les flagelles disparaissent l'un après l'autre, rapidement","Je ne sais pas","Gameplay sympa (quoique long à comprendre, j'ai passé 20 minutes avec les touches du clavier avant de me rendre compte que l'on pouvait cliquer pour se déplacer) et construction de niveaux intéressante.

Par contre on suit le tuto initial sans vraiment comprendre, car il est très rapide et ne pose pas les bases de la construction génétique. Et après on est complètement perdus dans les possibilités de construction.
Cela donne l'impression d'être fait pour des personnes déjà spécialistes voulant renforcer leurs connaissances, mais pas pour transmettre à des néophytes (on ne commence pas par les bases, ou celles-ci ont des prérequis assez élevés qu'un bac S ne suffit pas à avoir). On explique très peu les choses et la progression me paraît trop rapide (j'ai été bloqué et je suppose que c'est parce qu'il me manquait un élément à construire, mais je ne sais pas lequel). j'aurais aimé plusieurs tutos, sur lesquels je puisse revenir lorsque je bloque, histoire d'avoir à la fois le jeu rapide pour ceux qui sont à l'aise, et la possibilité de retourner à l'""école"" pour ceux qui comme moi en ont besoin.

Un point également en construction de niveau: j'ai été presque bloqué à un passage où pousser une pierre me donnait accès à une zone intermédiaire de laquelle je pouvais repousser la même pierre pour donner accès à un couloir, mais il était difficile d'accéder à cette autre côté de la pierre.

Reste que l'intention est très louable, continuez et bonne chance !","d2357cde-2d0f-4e41-8e7e-8dc0f5b9f05b"
"2018/04/28 3:37:27 PM GMT+2","Énormément","Moyennement","Pas du tout","Énormément","Je viens d'y jouer pour la première fois","","","","","","","","","Un peu","Modifier l'ADN de la bactérie","Je ne sais pas","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Sous lumière bleue, quand la construction GFP est équipée","La bactérie devient lumineuse","Je ne sais pas","","49eacabd-da6f-4105-92c8-56358bf5760a"
"2018/04/28 3:45:47 PM GMT+2","Moyennement","Moyennement","Moyennement","Moyennement","Non / pas encore","24","Homme","Beaucoup","Moyennement","Jusqu'au brevet","Moyennement","Non","Oui","Ne s'applique pas : pas encore joué","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","41ee4341-c08e-44eb-a362-79f3d2dc1e7a"
"2018/04/28 3:46:51 PM GMT+2","Moyennement","Moyennement","Beaucoup","Énormément","Non / pas encore","23","Femme","Un peu","Un peu","Jusqu'au bac","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Oui","Ne s'applique pas : pas encore joué","Modifier l'ADN de la bactérie","Je ne sais pas","Ampicilline","Je ne sais pas","4","Je ne sais pas","3","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","3","Je ne sais pas","Je ne sais pas","1","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","d83fa47e-5d89-405d-baf9-ea6123fe6667"
