,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
562,2018-04-10 15:47:17+00:00,Slightly,Slightly,Moderately,Slightly,I played it some time ago,23,Male,A lot,Slightly,Until the end of middle school,A lot,No,Yes,Not at all,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,PR,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",I don't know,I don't know,,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
563,2018-04-10 16:18:55+00:00,Not at all,Not at all,A lot,Slightly,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Plasmid,CDS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium glows,I don't know,"mettre un onglet explicitant ce qu'il faut faire devant un obstacle, plutôt que de tout expliciter au début ",e0bb3804-6f83-4209-ba29-7ffbf1a634f9,fr,undefined
564,2018-04-10 16:34:24+00:00,Slightly,Not at all,A lot,Not at all,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,RBS,TER,None of these,CDS,CDS,I don't know,I don't know,RBS,Plasmid,None of these,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,I don't know,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,un animateur sympa :D,4731525f-62dd-4128-ab56-3991b403e17e,fr,undefined
565,2018-04-10 21:03:48+00:00,Moderately,Moderately,Extremely,A lot,I played it multiple times recently,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,RBS,Plasmid,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,ecec7f91-1067-426e-a977-3d53293ded0e,fr,undefined
566,2018-04-11 11:07:20+00:00,A lot,Moderately,Extremely,Extremely,No / not yet,26,Male,A lot,Moderately,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,Plasmid,I don't know,I don't know,I don't know,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,081d1c6d-8f95-4d24-9176-a44641e41e8c,fr,undefined
567,2018-04-11 11:45:17+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,,,,,,,,,Extremely,Edit the DNA of the bacterium,RNA sequences,Ampicillin,Plasmid,None of these,TER,CDS,None of these,CDS,CDS,CDS,CDS,PR,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,081d1c6d-8f95-4d24-9176-a44641e41e8c,fr,undefined
568,2018-04-11 12:15:07+00:00,A lot,Moderately,A lot,A lot,No / not yet,32,Female,Moderately,A lot,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,2962cada-f998-4cb6-bb25-e8ff2f486dd0,fr,undefined
569,2018-04-11 12:19:49+00:00,Slightly,Slightly,Moderately,Slightly,No / not yet,39,Female,Slightly,Slightly,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,poste 1,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
570,2018-04-11 12:36:04+00:00,Moderately,Moderately,Moderately,A lot,No / not yet,12,Female,Moderately,Moderately,Not even in middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
571,2018-04-11 12:40:17+00:00,A lot,Moderately,Extremely,A lot,No / not yet,20,Male,Extremely,Moderately,Until the end of high school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,ad7b68aa-c031-4368-80c5-ee26e71594f4,fr,undefined
572,2018-04-11 13:01:41+00:00,Moderately,Moderately,Moderately,A lot,No / not yet,12,Female,Moderately,Moderately,Not even in middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12 ans, problème technique]",29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
573,2018-04-11 13:16:32+00:00,A lot,Moderately,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Gather nanobots,DNA sequences,Ampicillin,I don't know,TER,PR,I don't know,TER,I don't know,I don't know,I don't know,I don't know,TER,I don't know,RBS,I don't know,I don't know,I don't know,It generates antibiotic resistance,It makes it possible to move faster,I don't know,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,2962cada-f998-4cb6-bb25-e8ff2f486dd0,fr,undefined
574,2018-04-11 13:22:06+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,14,Male,Extremely,Extremely,Not even in middle school,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
575,2018-04-11 13:28:53+00:00,Slightly,Slightly,Moderately,Slightly,I just played for the first time,,,,,,,,,A bit,Edit the DNA of the bacterium,DNA sequences,Terminator,CDS,TER,PR,RBS,PR,Plasmid,I don't know,I don't know,I don't know,TER,RBS,Plasmid,PR,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",Flagella quickly disappear one by one,I don't know,,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
576,2018-04-11 13:32:36+00:00,A lot,Slightly,A lot,A lot,No / not yet,23,Male,Extremely,Slightly,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,fr,undefined
