,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
186,2018-04-24 15:06:13+00:00,Moderately,Moderately,Slightly,Moderately,I just played for the first time,,,,,,,,,A bit,Move the bacterium,Proteins,Ampicillin,I don't know,1,I don't know,I don't know,None of these,1,I don't know,2,I don't know,3,2,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium glows,I don't know,,645c63c7-7855-4622-8f54-c28dc40456f7,en,undefined
187,2018-04-24 15:17:29+00:00,Moderately,Moderately,Extremely,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,None of these,I don't know,3,5,3,I don't know,3,I don't know,None of these,4,5,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,f864bdfb-aefb-4667-bae5-ca10f3ed73ac,en,undefined
188,2018-04-24 16:27:31+00:00,Moderately,A lot,Extremely,A lot,No / not yet,46,Female,A lot,A lot,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,98fb2a1e-d01b-4dda-8053-7e6cffabfb2c,en,undefined
189,2018-04-24 20:02:01+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,15,Prefer not to say,A lot,Moderately,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,027fb5ca-c40a-4977-852a-e448538061f2,en,undefined
190,2018-04-24 23:24:53+00:00,Extremely,Moderately,Not at all,Slightly,I played recently on an other computer,29,Female,Moderately,A lot,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756bdf58-4fd5-41b9-bfa3-541831952154,en,undefined
191,2018-04-25 14:45:08+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,20,Male,A lot,Moderately,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hi,51f1ef77-ec48-4976-be1f-89b7cbd1afab,en,undefined
192,2018-04-25 14:47:35+00:00,A lot,A lot,A lot,Moderately,No / not yet,15,Male,A lot,A lot,Until the end of middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e94b693-df8f-4ad0-9f02-4aac6929bdaa,en,undefined
193,2018-04-25 15:45:14+00:00,A lot,A lot,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,RNA sequences,Ampicillin,None of these,1,I don't know,None of these,None of these,None of these,None of these,3,5,2,4,5,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,"nice game, but it isn't available in german. I had struggles with the names of the codes. ",1e94b693-df8f-4ad0-9f02-4aac6929bdaa,en,undefined
194,2018-04-25 17:04:36+00:00,A lot,A lot,Slightly,A lot,I just played for the first time,,,,,,,,,Moderately,Move the bacterium,Amino-acids,GFP,3,3,3,3,3,3,3,3,3,3,3,3,3,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,"Under blue light, all the time",The bacterium dies,It is active only in arabinose clouds,,eb6293d0-f9a9-44ac-8182-90613903caed,en,undefined
195,2018-04-25 17:41:27+00:00,Not at all,Not at all,Extremely,Not at all,No / not yet,21,Female,A lot,Moderately,Until the end of high school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c42aa7cf-daf4-4b18-a9b1-9e783789670c,en,undefined
196,2018-04-25 17:42:50+00:00,Not at all,Not at all,Not at all,Not at all,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanorobots,RNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,f5d91d38-0fb7-4a7a-8b60-1a474798efbc,en,undefined
197,2018-04-25 17:56:49+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,34,Male,Slightly,A lot,At least until master's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f31b7b7f-d939-472f-b621-0e77fa317220,en,undefined
198,2018-04-25 21:34:57+00:00,Slightly,Slightly,Extremely,Slightly,I played it multiple times recently on this computer,,,,,,,,,Not at all,Edit the DNA of the bacterium,Amino-acids,Arabinose,3,1,2,None of these,2,2,2,2,2,2,2,2,2,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium dies,It produces arabinose all the time,none,2f9adccf-136b-4737-bf48-47bc6cbdded7,en,undefined
199,2018-04-26 00:50:38+00:00,A lot,Extremely,Extremely,Extremely,No / not yet,18,Male,Extremely,Extremely,Until the end of high school,A lot,"Yes, and I know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,Ampicillin,I don't know,1,2,3,I don't know,I don't know,I don't know,5,5,2,I don't know,I don't know,3,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,167375fe-78d2-4594-aa70-723374d61636,en,undefined
200,2018-04-26 01:27:43+00:00,Extremely,Moderately,A lot,Moderately,No / not yet,13,Female,A lot,Extremely,Not even in middle school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,65af3961-de53-4583-a5be-0deb492306b3,en,undefined
201,2018-04-26 15:14:48+00:00,A lot,A lot,A lot,Extremely,I played it some time ago,14,Male,Slightly,A lot,Until the end of high school,Not at all,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a43bad2f-70d4-47a3-accc-1ed3138055e1,en,undefined
202,2018-04-26 19:18:32+00:00,Moderately,Moderately,Extremely,A lot,No / not yet,11,Male,Extremely,A lot,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970a021a-5f1c-44a1-8aad-97686b44755a,en,undefined
203,2018-03-23 17:40:36+00:00,,,,,No / not yet,0,Male,Extremely,Extremely,Until the end of high school,A lot,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,603e9d2c-1d85-4173-86f1-354f41871da2,fr,undefined
204,2018-03-24 15:07:51+00:00,,,,,No / not yet,26,Male,A lot,Extremely,At least until master's degree,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df7afec7-0029-44b0-961f-b37b47ccea96,fr,undefined
205,2018-03-24 15:31:10+00:00,,,,,No / not yet,18,Male,Slightly,Extremely,Until the end of high school,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f895aac-0bbc-4861-8fa3-31b6c2203a2a,fr,undefined
206,2018-03-24 16:36:16+00:00,,,,,No / not yet,89,Male,Slightly,Moderately,Until the end of middle school,Rarely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfhwhw,ec47694a-73d8-4134-a0ab-b2e401c2c302,fr,undefined
207,2018-03-24 20:39:12+00:00,,,,,No / not yet,17,Male,Moderately,A lot,Until the end of high school,Moderately,"Yes, and I know what it means",Yes,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,I don't know,3,1,None of these,I don't know,I don't know,3,2,4,I don't know,2,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,I don't know,I don't know,,e8d8c945-315e-4a49-8ca5-93a2de6b903f,fr,undefined
208,2018-03-24 21:03:50+00:00,,,,,No / not yet,17,Male,Moderately,A lot,Until the end of high school,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8d8c945-315e-4a49-8ca5-93a2de6b903f,fr,undefined
209,2018-03-27 09:23:48+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,2,3,1,3,4,3,3,2,4,5,None of these,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",test - 1st play path,603e9d2c-1d85-4173-86f1-354f41871da2,fr,undefined
210,2018-03-27 09:49:03+00:00,,,,,I just played for the first time,,,,,,,,,,Gather nanobots,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,3f675328-0bdd-469b-8bc7-3666238ee90a,fr,undefined
211,2018-03-29 09:43:34+00:00,Moderately,Extremely,Moderately,Extremely,No / not yet,27,Female,Moderately,A lot,At least until master's degree,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b78833a7-1b71-4752-9518-5f20d189a948,fr,undefined
212,2018-03-29 09:45:48+00:00,A lot,A lot,Moderately,Slightly,No / not yet,17,Female,Moderately,Extremely,Until the end of middle school,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d302f743-72e5-41f6-bac4-8605b4be2b10,fr,undefined
213,2018-03-29 16:05:54+00:00,A lot,A lot,Moderately,Slightly,No / not yet,17,Female,Slightly,A lot,Until the end of middle school,Rarely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5bf70ae-59d2-40ad-8eed-52af5738cb34,fr,undefined
214,2018-04-04 14:26:32+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,0,Female,Not at all,Not at all,Not even in middle school,Not at all,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test cite des sciences,0efcffb9-22fb-42c5-ac9e-0352889187d5,fr,undefined
215,2018-04-04 18:47:09+00:00,Slightly,A lot,Extremely,Extremely,No / not yet,20,Male,Extremely,Moderately,Until the end of high school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Flagella quickly disappear one by one,I don't know,,12497da0-b556-4ab2-9686-9092a4bb42fa,fr,undefined
216,2018-04-07 07:09:10+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,66,Prefer not to say,Moderately,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36d1d0e4-6d60-45bf-a837-9cedf9c68669,fr,undefined
217,2018-04-08 12:27:32+00:00,A lot,A lot,A lot,Moderately,No / not yet,24,Male,Moderately,A lot,At least until master's degree,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f6bea89-768a-42d5-974b-b6e5c1c29cdb,fr,undefined
218,2018-04-10 12:42:54+00:00,Slightly,Not at all,Moderately,Moderately,No / not yet,21,Male,Slightly,Not at all,Until the end of middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d06181ef-a682-4fc0-8a29-4828b94e563b,fr,undefined
219,2018-04-10 12:47:20+00:00,Not at all,Slightly,A lot,Slightly,No / not yet,23,Male,Extremely,Moderately,Until the end of high school,Extremely,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,I don't know,None of these,5,2,3,I don't know,5,I don't know,I don't know,None of these,1,4,1,None of these,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,I don't know,It generates antibiotic resistance,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,"Under blue light, all the time",Flagella quickly disappear one by one,I don't know,,d698bcab-52a7-40ab-973f-4e5c6dad23a2,fr,undefined
220,2018-04-10 12:52:15+00:00,Moderately,A lot,A lot,A lot,No / not yet,24,Male,A lot,Moderately,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It produces arabinose all the time,"Je ne me suis pas assez cultivé en biologie, je ne connais rien malheureusement",6cf861f2-93ff-445a-831f-e46ca50720a5,fr,undefined
221,2018-04-10 13:23:36+00:00,A lot,A lot,Extremely,A lot,No / not yet,24,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecec7f91-1067-426e-a977-3d53293ded0e,fr,undefined
222,2018-04-10 13:30:45+00:00,Not at all,Not at all,Moderately,Slightly,I just played for the first time,,,,,,,,,Not at all,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,1,I don't know,I don't know,3,2,None of these,I don't know,3,2,The bricks are not well-ordered,It makes it possible to move faster,I don't know,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",I don't know,I don't know,,d06181ef-a682-4fc0-8a29-4828b94e563b,fr,undefined
223,2018-04-10 13:31:05+00:00,Moderately,A lot,Extremely,A lot,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,Amino-acids,GFP,3,2,2,1,3,5,4,3,1,1,2,1,None of these,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,I don't know,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces nothing since it induces itself,poste1,d698bcab-52a7-40ab-973f-4e5c6dad23a2,fr,undefined
224,2018-04-10 13:33:33+00:00,A lot,A lot,Moderately,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,1,4,I don't know,1,I don't know,I don't know,I don't know,I don't know,5,I don't know,2,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,6cf861f2-93ff-445a-831f-e46ca50720a5,fr,undefined
225,2018-04-10 14:02:26+00:00,A lot,A lot,A lot,Slightly,No / not yet,19,Male,A lot,A lot,Until the end of middle school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,56ed28ea-6c2d-48c5-be37-142448850eae,fr,undefined
226,2018-04-10 14:02:58+00:00,Moderately,Moderately,Extremely,Extremely,No / not yet,18,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,poste 1,262b810a-925a-4744-a150-392afbd819c1,fr,undefined
227,2018-04-10 14:08:24+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Gather nanobots,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,poste 1,262b810a-925a-4744-a150-392afbd819c1,fr,undefined
228,2018-04-10 14:08:24+00:00,A lot,A lot,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,Proteins,Arabinose,1,3,2,3,1,3,2,2,3,2,3,2,2,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,poste 2,56ed28ea-6c2d-48c5-be37-142448850eae,fr,undefined
229,2018-04-10 14:26:47+00:00,A lot,Slightly,Extremely,Extremely,No / not yet,12,Male,A lot,Slightly,Not even in middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poste 1,09318e51-6794-429d-a7d2-381474c9aa53,fr,undefined
230,2018-04-10 14:48:35+00:00,A lot,Moderately,Extremely,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,GFP,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Nothing,I don't know,il faut il jouer longtemps pour comprendre bien le jeu,09318e51-6794-429d-a7d2-381474c9aa53,fr,undefined
231,2018-04-10 14:57:26+00:00,A lot,A lot,Moderately,Slightly,No / not yet,23,Male,Extremely,Slightly,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
232,2018-04-10 15:05:55+00:00,Moderately,Slightly,A lot,Slightly,No / not yet,23,Male,A lot,Slightly,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,4731525f-62dd-4128-ab56-3991b403e17e,fr,undefined
233,2018-04-10 15:07:32+00:00,A lot,A lot,A lot,A lot,I just played for the first time,,,,,,,,,A bit,Edit the DNA of the bacterium,DNA sequences,Ampicillin,2,2,1,I don't know,1,I don't know,I don't know,3,1,2,4,I don't know,I don't know,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It makes it possible to move faster,It makes it possible to move faster,It generates antibiotic resistance,It generates antibiotic resistance,It generates antibiotic resistance,"Under blue light, all the time",The bacterium dies,"It produces more and more arabinose after being induced, because it induces itself",,e79d806e-3d0b-49f8-a5e8-23de5548b770,fr,undefined
234,2018-04-10 15:17:51+00:00,Slightly,Slightly,Extremely,Extremely,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,I don't know,Arabinose,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,11f2a074-92cf-4ad7-9ddd-37a08edc2914,fr,undefined
235,2018-04-10 15:47:17+00:00,Slightly,Slightly,Moderately,Slightly,I played it some time ago,23,Male,A lot,Slightly,Until the end of middle school,A lot,No,Yes,Not at all,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,2,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",I don't know,I don't know,,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
236,2018-04-10 16:18:55+00:00,Not at all,Not at all,A lot,Slightly,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,5,3,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium glows,I don't know,"mettre un onglet explicitant ce qu'il faut faire devant un obstacle, plutôt que de tout expliciter au début ",e0bb3804-6f83-4209-ba29-7ffbf1a634f9,fr,undefined
237,2018-04-10 16:34:24+00:00,Slightly,Not at all,A lot,Not at all,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,2,4,1,None of these,3,3,I don't know,I don't know,4,5,None of these,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,I don't know,The bricks are not well-ordered,It generates antibiotic resistance,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,un animateur sympa :D,4731525f-62dd-4128-ab56-3991b403e17e,fr,undefined
238,2018-04-10 21:03:48+00:00,Moderately,Moderately,Extremely,A lot,I played it multiple times recently,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,4,5,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,ecec7f91-1067-426e-a977-3d53293ded0e,fr,undefined
239,2018-04-11 11:07:20+00:00,A lot,Moderately,Extremely,Extremely,No / not yet,26,Male,A lot,Moderately,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,1,5,I don't know,I don't know,I don't know,I don't know,4,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,081d1c6d-8f95-4d24-9176-a44641e41e8c,fr,undefined
240,2018-04-11 11:45:17+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,,,,,,,,,Extremely,Edit the DNA of the bacterium,RNA sequences,Ampicillin,5,None of these,1,3,None of these,3,3,3,3,2,4,5,2,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,081d1c6d-8f95-4d24-9176-a44641e41e8c,fr,undefined
241,2018-04-11 12:15:07+00:00,A lot,Moderately,A lot,A lot,No / not yet,32,Female,Moderately,A lot,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,2962cada-f998-4cb6-bb25-e8ff2f486dd0,fr,undefined
242,2018-04-11 12:19:49+00:00,Slightly,Slightly,Moderately,Slightly,No / not yet,39,Female,Slightly,Slightly,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,poste 1,4d1c03d1-151b-4c4f-b9a5-8dcbd4939b1c,fr,undefined
243,2018-04-11 12:36:04+00:00,Moderately,Moderately,Moderately,A lot,No / not yet,12,Female,Moderately,Moderately,Not even in middle school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29b739fc-4f9f-4f5e-bfee-8ba12de4b7fa,fr,undefined
