,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
349,2018-04-17 11:20:14+00:00,Moderately,Moderately,Extremely,Extremely,No / not yet,17,Male,Extremely,Moderately,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,difficile de répondre à l'intégralité des questions posées sans avoir joué a Hero.Coli,748f86ca-3b50-4ffa-b906-2232092c9a44,fr,undefined
350,2018-04-17 11:21:00+00:00,Extremely,A lot,Slightly,Extremely,No / not yet,40,Female,Not at all,Extremely,Until bachelor's degree,Not at all,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b1701cf-bd5d-46c0-861e-636be2c0e383,fr,undefined
351,2018-04-17 11:22:49+00:00,Slightly,Moderately,Not at all,A lot,No / not yet,31,Male,A lot,Slightly,Until the end of middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1b552dbc-6c3a-41ff-9590-43e5ca61b927,fr,undefined
352,2018-04-17 11:49:49+00:00,Slightly,Moderately,A lot,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,Proteins,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,5,I don't know,I don't know,I don't know,It makes it possible to move faster,It makes it possible to move faster,I don't know,I don't know,I don't know,I don't know,It makes it possible to move faster,It makes it possible to move faster,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,[pressé par le temps],1b552dbc-6c3a-41ff-9590-43e5ca61b927,fr,undefined
353,2018-04-17 11:55:59+00:00,Moderately,Slightly,A lot,A lot,No / not yet,13,Male,Extremely,Slightly,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,0f262205-a4a1-43cb-8b40-03e0811d3cc9,fr,undefined
354,2018-04-17 12:02:24+00:00,A lot,Moderately,Moderately,A lot,No / not yet,17,Male,A lot,Moderately,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,GFP,I don't know,I don't know,I don't know,2,1,3,I don't know,I don't know,3,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,dba89696-c774-4ce0-9193-b735e68792a6,fr,undefined
355,2018-04-17 12:04:35+00:00,Moderately,Slightly,A lot,Moderately,No / not yet,15,Female,A lot,Slightly,Until the end of middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e507f823-a88e-474a-a39e-29bc84da2b57,fr,undefined
356,2018-04-17 12:11:16+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,I don't know,I don't know,I don't know,I don't know,4,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,"un jeux assez instructif, ils faut prendre son temps et établir une stratégie",748f86ca-3b50-4ffa-b906-2232092c9a44,fr,undefined
357,2018-04-17 12:11:41+00:00,A lot,A lot,Extremely,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,4,1,1,3,I don't know,I don't know,None of these,2,1,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,b53660ec-ab0d-407f-be6f-684e58b28860,fr,undefined
358,2018-04-17 12:19:55+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,23,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,Terminator,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,7a8ea59e-0205-458e-afc3-89c588ef7e8f,fr,undefined
359,2018-04-17 12:20:47+00:00,A lot,A lot,A lot,Extremely,No / not yet,24,Female,Extremely,A lot,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,Ampicillin,3,None of these,4,1,2,1,1,1,I don't know,5,None of these,4,5,I don't know,It generates antibiotic resistance,It generates green fluorescence,It makes it possible to move faster,The bricks are not well-ordered,I don't know,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium dies,It produces nothing since it induces itself,,5067f639-ea15-472f-8df6-8dd772770de7,fr,undefined
360,2018-04-17 12:28:30+00:00,A lot,A lot,Moderately,Moderately,No / not yet,42,Male,Moderately,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,ee66e268-120e-4711-a416-3246d124c852,fr,undefined
361,2018-04-17 12:38:10+00:00,Moderately,Slightly,A lot,Moderately,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,5,4,1,3,3,I don't know,2,4,I don't know,5,2,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,j'ai été bloqué après avoir trouvé 3/5 petit machin ,e507f823-a88e-474a-a39e-29bc84da2b57,fr,undefined
362,2018-04-17 12:46:38+00:00,Moderately,Moderately,Moderately,A lot,I just played for the first time,,,,,,,,,A lot,Edit the DNA of the bacterium,RNA sequences,Ampicillin,5,1,2,3,1,3,4,I don't know,3,2,4,5,2,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,dba89696-c774-4ce0-9193-b735e68792a6,fr,undefined
