"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/04/20 4:36:48 PM GMT+2","Moderately","Moderately","Extremely","Slightly","I just played for the first time","","","","","","","","","Moderately","Edit the DNA of the bacterium","DNA sequences","Ampicillin","5","None of these","1","4","None of these","3","3","1","5","3","4","5","3","The bricks are not well-ordered","It generates green fluorescence","I don't know","I don't know","The bricks are not well-ordered","I don't know","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","","315e916f-fc68-4ab5-8a14-08999dd6dc5e"
"2018/04/20 4:48:11 PM GMT+2","A lot","A lot","Extremely","Extremely","I just played for the first time","","","","","","","","","Extremely","Edit the DNA of the bacterium","Proteins","Ampicillin","5","1","2","3","1","3","3","3","1","1","4","5","I don't know","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","It generates green fluorescence","The bricks are not well-ordered","It generates green fluorescence","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces more and more arabinose after being induced, because it induces itself","Very pleasant to play, perhaps the scientific vocabular was a bit surprising at first, but it remains very easy to play with, fun, complex enough and not too punishing - even though some parts were very tricky.","f3917a26-aeb8-49e7-b322-f84889bdf8bc"
"2018/04/20 5:07:47 PM GMT+2","Slightly","Slightly","Slightly","Moderately","No / not yet","39","Female","Slightly","Moderately","Until the end of middle school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a637c17e-fdaf-4fa8-917d-e338e00a2eeb"
"2018/04/20 5:40:55 PM GMT+2","Slightly","Slightly","Not at all","Slightly","I just played for the first time","","","","","","","","","Not applicable: not played yet","Gather nanorobots","I don't know","Terminator","I don't know","I don't know","I don't know","5","1","I don't know","I don't know","4","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","I don't know","I don't know","It is not clear explanation.","a637c17e-fdaf-4fa8-917d-e338e00a2eeb"
"2018/04/20 10:23:45 PM GMT+2","Extremely","Extremely","Extremely","Extremely","No / not yet","13","Male","Extremely","Extremely","Until the end of middle school","Extremely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826590c8-30f5-4782-9de0-f23db565a910"
"2018/04/20 10:30:50 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","18","Male","Moderately","Moderately","Until the end of high school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96b9ae9c-d1a8-4d57-91a1-b3a1a9658866"
"2018/04/21 7:02:36 PM GMT+2","Not at all","Not at all","Not at all","Not at all","I just played for the first time","","","","","","","","","Not applicable: not played yet","Gather nanorobots","RNA sequences","Ampicillin","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","The bacterium glows","It produces arabinose all the time","","624d4f6f-a425-41d7-be5d-3a07565e6ec0"
"2018/04/21 8:19:31 PM GMT+2","Extremely","Extremely","Extremely","Extremely","I just played for the first time","","","","","","","","","Not applicable: not played yet","I don't know","I don't know","I don't know","5","4","1","4","2","1","1","4","3","3","3","3","5","I don't know","It generates green fluorescence","It generates antibiotic resistance","It generates green fluorescence in presence of arabinose inducer","It makes it possible to move faster","It generates green fluorescence","The bricks are not well-ordered","The bricks are not well-ordered","In front of the doors, all the time","The bacterium dies","It produces more and more arabinose after being induced, because it induces itself","why","c6751bee-a692-4488-8b6f-51143bff7255"
"2018/04/21 10:51:29 PM GMT+2","Extremely","Moderately","Not at all","Not at all","No / not yet","37","Female","Moderately","Extremely","At least until master's degree","Rarely","No","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","eebf7773-6027-4b36-956a-7dae44f0bdea"
"2018/04/22 10:34:33 AM GMT+2","Extremely","Slightly","A lot","Slightly","No / not yet","15","Male","A lot","A lot","Until the end of middle school","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82c40cb5-dde2-4062-82f3-14936f52d844"
