"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/04/25 5:45:14 PM GMT+2","A lot","A lot","A lot","Moderately","I just played for the first time","","","","","","","","","A lot","Edit the DNA of the bacterium","RNA sequences","Ampicillin","None of these","1","I don't know","None of these","None of these","None of these","None of these","3","5","2","4","5","I don't know","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","nice game, but it isn't available in german. I had struggles with the names of the codes. ","1e94b693-df8f-4ad0-9f02-4aac6929bdaa"
"2018/04/25 7:04:36 PM GMT+2","A lot","A lot","Slightly","A lot","I just played for the first time","","","","","","","","","Moderately","Move the bacterium","Amino-acids","GFP","3","3","3","3","3","3","3","3","3","3","3","3","3","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence in presence of arabinose inducer","It makes it possible to move faster","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence in presence of arabinose inducer","Under blue light, all the time","The bacterium dies","It is active only in arabinose clouds","","eb6293d0-f9a9-44ac-8182-90613903caed"
"2018/04/25 7:41:27 PM GMT+2","Not at all","Not at all","Extremely","Not at all","No / not yet","21","Female","A lot","Moderately","Until the end of high school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c42aa7cf-daf4-4b18-a9b1-9e783789670c"
"2018/04/25 7:42:50 PM GMT+2","Not at all","Not at all","Not at all","Not at all","I just played for the first time","","","","","","","","","Not applicable: not played yet","Gather nanorobots","RNA sequences","Ampicillin","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","The bacterium glows","It produces arabinose all the time","","f5d91d38-0fb7-4a7a-8b60-1a474798efbc"
"2018/04/25 7:56:49 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","34","Male","Slightly","A lot","At least until master's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f31b7b7f-d939-472f-b621-0e77fa317220"
"2018/04/25 11:34:57 PM GMT+2","Slightly","Slightly","Extremely","Slightly","I played it multiple times recently on this computer","","","","","","","","","Not at all","Edit the DNA of the bacterium","Amino-acids","Arabinose","3","1","2","None of these","2","2","2","2","2","2","2","2","2","The bricks are not well-ordered","It generates green fluorescence","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence in presence of arabinose inducer","It generates green fluorescence","It generates green fluorescence","The bricks are not well-ordered","It generates green fluorescence in presence of arabinose inducer","Under blue light, when the GFP device is equipped","The bacterium dies","It produces arabinose all the time","none","2f9adccf-136b-4737-bf48-47bc6cbdded7"
"2018/04/26 2:50:38 AM GMT+2","A lot","Extremely","Extremely","Extremely","No / not yet","18","Male","Extremely","Extremely","Until the end of high school","A lot","Yes, and I know what it means","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","Proteins","Ampicillin","I don't know","1","2","3","I don't know","I don't know","I don't know","5","5","2","I don't know","I don't know","3","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","167375fe-78d2-4594-aa70-723374d61636"
"2018/04/26 3:27:43 AM GMT+2","Extremely","Moderately","A lot","Moderately","No / not yet","13","Female","A lot","Extremely","Not even in middle school","Moderately","No","Yes","Not applicable: not played yet","Edit the DNA of the bacterium","I don't know","Ampicillin","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","65af3961-de53-4583-a5be-0deb492306b3"
"2018/04/26 5:14:48 PM GMT+2","A lot","A lot","A lot","Extremely","I played it some time ago","14","Male","Slightly","A lot","Until the end of high school","Not at all","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a43bad2f-70d4-47a3-accc-1ed3138055e1"
"2018/04/26 9:18:32 PM GMT+2","Moderately","Moderately","Extremely","A lot","No / not yet","11","Male","Extremely","A lot","Until the end of middle school","Extremely","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970a021a-5f1c-44a1-8aad-97686b44755a"
